Document Key,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

blog/website
book-chapter/section
book-entire
book-pamphlet
book-report/report section
journal-article
magazine-article
manuscript
newspaper-article
newspaper-supplement-article
review-book
thesis/dissertation",Author Name,Article Ttitle,"Article Sort Title

All articles (a, an, the) and spaces before the first and after the last words removed in this column

All punctuation removed, INCLUDING COLONS, QUOTATION MARKS, AND APOSTROPHES so that only letters are considered when the website alphabetizes","Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Day,Month,Year,"Standardized Date 

(yyyy-mm-dd)","Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,"Location of Physical Copy 

(for archival sources)","Place of Publication

for maps on website

also for browse by publication location feature","Permission Obtained

(date, point of contact, pertinent details)",Cost,Permission Acknowledgements & Other Notes,"Permission Statements

statements provided here replace the website's general permission statement 

For documents published outside the United States, make sure to use any permission statement already written. For new countries, a standard publication statement should be written which follows the model of permission statements provided here.","Acquisitions information
Bennett1898,magazine-article,"John E. Bennett,","""Our Seaboard Islands of the Pacific,""",Our Seaboard Islands of the Pacific,<i>Harper's New Monthly Magazine</i>,"97,",no. 582,,November,1898,1898-11-01,852-62,,,,,"Ithaca, New York",Public domain,,,,,,,Y--scenes of SNI (13 images total)
McBride1992,magazine-article,"Woody McBride,","""The Lone Woman of San Nicolas Island,""",Lone Woman of San Nicolas Island,<i>Fedco Reporter</i>,,,,October,1992,1992-10-01,17,,,,,"Los Angeles, California",Y,,"""The California State University, Lost Angeles, John F. Kennedy Memorial Library, Fedco Superstores, Inc. collection.""","Reprinted with permission from The California State University, Lost Angeles, John F. Kennedy Memorial Library, Fedco Superstores, Inc. collection.",,,,Y--title graphic
Woodward1930,magazine-article,"Arthur Woodward,","""A Female Robinson Crusoe,""",Female Robinson Crusoe,<i>Adventure Magazine</i>,,,1,February,1930,1930-02-01,140-41,,,,,"New York, New York","Y--magazine defunct, copyright owner could not be located",,,,,,,Y--title image linked?
Dittman1878,manuscript,"Carl Dittman,","<i>Narrative of a Seafaring Life on the Coast of California</i>,","Narrative of a Seafaring Life on the Coast of California,",Manuscript C-D67,,,,,1878,1878-01-01,,Manuscript C-D67,1878,Bancroft Library,"University of California, Berkeley",N/A,Y,"$1,530",(paid by Richard Dittman),"Courtesy of The Bancroft Library, University of California, Berkeley.  Funding for the production of these digital scans was generously provided by Richard H. Dittman.",,,"Carl Dittman’s personal narrative, including his role in locating and transporting the Lone Woman to mainland California, has long been overshadowed by George Nidever’s.  As captain of the fateful 1853 expedition to San Nicolas that resulted in the Lone Woman’s removal to mainland California, the fifty-year-old Nidever outranked the significantly younger Dittman, who on this journey was merely a member of the crew.  Moreover, it was Nidever and his wife, not Dittman, who housed the island woman once the hunting party returned to Santa Barbara with the Lone Woman in tow.  

George Nidever also had better press.  In 1928, the Daughters of the American Revolution erected a plaque at the Santa Barbara Mission commemorating the discovery and rescue of the Lone Woman.  The historical marker, which is still standing, gives Captain George Nidever sole credit.  And in 1937, the University of California Press published Nidever’s <i>Life and Adventures</i>, a narrative that at 165 hand-written pages dwarfs Dittman’s 48-page dictation, still unpublished to this day.  The two men’s differing relationships to the United States as a nation may be another factor in their subsequent memorialization.  George Nidever was a native-born American whose parents were also native born (his father from Pennsylvania, his mother from Virginia).  Nidever’s journey to California follows the typical east to west pattern of American expansion and accompanying concept of Manifest Destiny.  After a childhood in Tennessee, North Carolina, and Missouri, Nidever began a series of travels that progressively moved him west to Mexican California.  Here, he participated in the Mexican-American War, fighting alongside John C. Frémont and accompanying the Lieutenant-Colonel to Cahuenga, where articles of capitulation were signed.  (The Treaty of Cahuenga preceded the Treaty of Guadulupe Hidalgo, which officially ended hostilities between the United States and Mexico and resulted in the United States gaining northern California and land including present-day Arizona and New Mexico, as well as portions of Utah, Nevada, and Colorado.)  Nidever therefore directly contributed to the expansion of U.S. territory. 

Frontier or borderland spaces such as the nineteenth-century American west ease barriers to mobility presented by race, class, and gender, but they never erase them entirely.  Unlike Nidever, Carl Dittman was foreign-born, arriving in Santa Barbara, California in 1844 as a citizen of Prussia.  Dittman took to the sea as an adolescent, escaping an unhappy apprenticeship, according to family stories.<sup>1</sup>  After several years as a seaman, Dittman settled in Mexican California, where he engaged in a variety of jobs including managing a storehouse, farming, mining for gold, and especially, sea otter hunting.  Dittman was often known as Charley Brown, and the confusion over his name points to his ""foreignness.""  As he dictated to Edward Murray, ""My right name is Carl Dittman although I am generally called Charley Brown, having adopted this latter name while I was a sailor.  My native place is Ueckamünde, about 30 miles from Berlin, Prussia.  I went to sea while still a boy, making my first voyage with Capt. Ratman who belonged in my town.""  

As Mexico and the United States struggled for control of California, Dittman’s foreign citizenship was at times a benefit.  During an 1846 sea otter hunting expedition, for example, Dittman traveled with a Scot (Bill Fife), two Americans (George Nidever and [Reading] McCoy), and ""Mission indians [sic] from various Missions.""  When the group reached Santa Barbara, they were met by six Californios who arrested them, as the Mexican-American War had begun.  According to Dittman’s narrative, only he and Fife, the non-Americans, were released.  

But while foreign citizenship might be desirable when California’s future was uncertain, it was less so once California was incorporated into the United States.  In March 1849 and again in the spring of 1850, Dittman mined for gold at the Stanislaus diggings.  He doesn’t discuss taxes in his narrative, but during this period, a ""foreign miners’ tax"" was levied against non-U.S. fortune seekers.  Well after his contact with the Lone Woman, Dittman began the process of seeking U.S. citizenship.  He submitted a Letter of Intent for naturalization on 20 July 1867, and on 31 July 1871, his citizenship was granted in the Court of the First Judicial District in Santa Barbara. <sup>2</sup>  During this period, the wife and children (under age 21) of a naturalized man gained U.S. citizenship automatically.

Dittman’s <i>Narrative</i> mentions neither his naturalization nor a wife and children.  Other records, however, indicate that Dittman established a family (marriage is uncertain) with Francisca Cascareña, who was born at Mission San Luis Rey, in Alta California, around 1825.  Francisca was likely a Payómkawichum (Lusiña or Luiseña), a Mission Indian.  Although she was born after Mexican independence, the Spanish missions underwent a long, uneven process of secularization.  Church, census, and court records indicate that Carl Dittman and Francisca Cascareña had two children, Maria Juana (later Mary) and Charles.  In 1861, Charles Dittman declared himself the legal father of these children, born of an Indian woman. <sup>3</sup>

As a naturalized citizen who married a Mission Indian, Carl Dittman lacked some of Nidever’s trappings as American pioneer for those interested in creating mythic narratives of the United States at the end of the nineteenth century.  This may explain his muted appearance in early accounts of the Lone Woman.

End Notes

<sup>1</sup> Richard H. Dittman, ""Good Grief, Charley Brown!"" <i>Ancestors West</i> 31, nos. 1-2 (2004-05): 13-15.
<sup>2</sup> Richard H. Dittman, ""Good Grief, Charley Brown!"" Ancestors West 31, 1-2 (2004-05): 14-15.  The Letter of Intent spells the name Charles Ditman.
<sup>3</sup> Santa Barbara County, District Court Miscellaneous Records, Affidavit of Birth, Book A, p. 247. For more information on Charles Dittman’s descendants, see Richard H. Dittman, ""Good Grief, Charley Brown!"" <i>Ancestors West</i> 31, nos. 1-2 (2004-05): 13-15.",
Hardacre1879,manuscript,"Emma C. Hardacre,","""Historical Account of the California Female Robinson Crusoe,""",Historical Account of the California Female Robinson Crusoe,Manuscript,,,,,,,,,,,,N/A,Y,,Courtesy of Marla Daily.,,,,,
Murray1878,manuscript,"E. F. Murray,","""'The Indian Woman of San Nicolas': By George Nidever,""",The Indian Woman of San Nicolas By George Nidever,"Manuscript 764,",,,4,November,1878,1878-11-04,1-4,Manuscript 764,4 Nov 1878.,"Braun Research Library Collection, Autry National Center",Los Angeles,N/A,Y,,"Manuscript Collection, Braun Research Library Collection, Autry National Center, Los Angeles; MS.764, The Indian Woman of San Nicolas by George Nidever; E. F. Murray, Santa Barbara, November 4, 1878, 6 pages","Courtesy of the Braun Research Library, Autry National Center of the American West, Los Angeles; Manuscript Collection, MS. 764.",,,,
Nidever1878,manuscript,"George Nidever,","<i>The Life and Adventures of a Pioneer of California Since 1834</i>,","The Life and Adventures of a Pioneer of California Since 1834,",Manuscript C-D133,,,,,1878,1878-01-01,1-165,Manuscript C-D133,1878,Bancroft Library,"University of California, Berkeley",N/A,Y,$144 + (not yet calculated for filmreel),,"Courtesy of The Bancroft Library, University of California, Berkeley.",,,"The memoir of George Nidever has long been considered a key source in documenting the Lone Woman’s story.  Along with Carl Dittman (also known as ""Charley Brown""), George Nidever was a central figure in the 1853 party of white men and ""Mission Indians"" (likely Chumash and/or Gabrielino men) that ultimately brought the Lone Woman to the California mainland. After the ship’s return to Santa Barbara, the Lone Woman stayed in the home of Nidever and his wife, Maria Sinforosa Ramona Sanchez de Nidever, until her death seven weeks later. Nidever, then, is an eyewitness to the Lone Woman’s habitation on San Nicolas Island, release from solitude, and life and death in Santa Barbara.

Because he was the ship owner and captain of the 1853 sea otter hunting crew, and because he later hosted the Lone Woman in his home, Nidever has generally been credited with the Lone Woman’s ""discovery"" and ""rescue.""  When the Santa Barbara chapter of the Daughters of the American Revolution erected a plaque on the site of the Lone Woman’s presumed burial at the Santa Barbara Mission, for example, it was inscribed: ""Juana Maria/ Indian woman abandoned on/ San Nicolas Island eighteen years/ found and brought to/ Santa Barbara/ by/ Capt. George Nidever/ in 1853.""  In fact, however, it was Dittman who first saw and interacted with the woman. Regardless, Nidever and Dittman’s recorded recollections of the party’s initial encounter with the Lone Woman are similar. 

In the last quarter of the nineteenth century, historian Hubert Howe Bancroft (for whom the University of California’s library is named) hired a number of research assistants to interview and take dictations from leading California figures. Both Nidever and Dittman contributed to this project by telling their life stories to Edward F. Murray in 1878, twenty-five years after the Lone Woman’s removal from San Nicolas. Nidever’s memoir was later published in a popular volume, <i>The Life and Adventures of George Nidever: The Life Story of a Remarkable California Pioneer Told in his Own Words, and None Wasted</i> (1937).

<i>The Life and Adventures of George Nidever</i> not only provides an eyewitness account of the Lone Woman’s removal, albeit at a distance of a quarter century, but also offers contemporary readers insight into the California—and United States—that the Lone Woman entered. (Nidever relates the woman’s shock upon seeing an ox-cart and horses, for example, and reports that he received an offer, which he summarily refused, to display the Lone Woman in a side show, for profit). Importantly, however, the memoir <i>also</i> helps us to see—and reflect on— how Nidever made sense of the Lone Woman. He asserted that he understood her ""plainly;"" yet, from the distance of the twenty-first century, we can see how profound barriers of language, culture, and gender separated Nidever from the island woman.

Nidever was born in eastern Tennessee in1802 and moved steadily west during his lifetime as a hunter, trapper, and rancher who also engaged in gold mining, land speculation, and occasional Indian fighting. In short, Nidever was a consummate pioneer. Born two generations after Daniel Boone, however, his landscape was California rather than Kentucky. Nidever arrived in California in 1833, having traveled from Arkansas with a party of trappers.  Once on the west coast, he decided to remain in California, which was then part of Mexico (note the name of the woman he married: Maria Sinforosa Ramona Sanchez).  When California entered the union as the thirty-first state in 1850, Nidever became an ""original"" or ""native"" Californian.

Nidever and the Lone Woman’s paths crossed because Nidever’s economic activities regularly took him to the loosely-regulated California islands: he hunted otter, collected seagull eggs, and, on San Miguel, operated a sheep ranch.  Indigenous men frequently accompanied Nidever on these money-making expeditions, and the language Nidever employed in dictating his life story gives us clues as to the hierarchy involved in these relationships. Repeatedly, Nidever omits Native people’s names and uses possessive phrases such as ""my Indian"" to describe men with whom he worked, and on occasion, considered friends. The search party for the Lone Woman is a case in point: Nidever records that Charley Brown accompanied him on the trip, and in fact saw the Lone Woman first.  But he neglects to name the ""two Indians [who] went ashore"" with them. Their identities remain unrecorded today, although the ethnographic notes of J. P. Harrington suggest some possibilities (e.g., the Chumash men Malquiares and Policarpio and the Gabrielino Nolverto). In stark contrast, early twentieth-century historians ensured the production of a memoir that secures Nidever’s name, and story, for perpetuity. In a very real sense, then, Nidever’s history rests on the erasure of Native peoples’ history.

As <i>The Life and Adventures of George Nidever</i> records, Father González of the Santa Barbara Mission requested that Nidever and his hunting party search for the Lone Woman when on San Nicolas. Nidever went to some effort and expense to do so, as the journey to the most remote of the Channel Islands was more than 120 miles roundtrip in his schooner. It was on the third trip that Nidever finally succeeded. At that time, the Lone Woman had endured eighteen years of solitude; her ""rescuers"" don’t rush her to society, however. Rather, as Nidever reports, ""we remained here hunting about a month."" Their first goal, of course, was to make the expedition profitable.

Today, Nidever is recognized as a pioneer of California and is perhaps best known as the ""discoverer"" of the Lone Woman. In all his years hunting, tracking, and trapping, one could say that she was his ""biggest catch.""",
Phelps1841,manuscript,"William Dane Phelps, ","<i>Logbook of the Alert</i>,","Logbook of the Alert,","entry for Saturday, May 29, 1841 ",,,29,May,1841,1841-05-29,,"MS AmW 84, vol. 5",,"William Dane Phelps Papers, Houghton Library, Harvard University","Houghton Library, Harvard University",N/A,Y,,"Printed by permission of the Houghton Library, Harvard University.","Printed by permission of the Houghton Library, Harvard University.",,,,
PointMuguHandout,manuscript,,"""Legend of San Nicolas Island: The Abandoned Woman of San Nicolas,""",Legend of San Nicolas Island The Abandoned Woman of San Nicolas,,,,,,1980,1980-01-01,,manuscript,,"Pacific Missile Range, Point Mugu Naval Base","Ventura County, CA","Point Mugu, California",Y,,Steve Schwartz,,,"not certain,  arbitrary based on Steve Schwartz's report that this doc was used when he began working at Point Mugu",,
Schwartz1989,manuscript,"Steve J. Schwartz,","""The Lone Woman of San Nicolas Island,""",Lone Woman of San Nicolas Island,Manuscript,,,,,1989,1989-01-01,,unpublished manuscript,,,,N/A,Y,,,Reprinted with permission of Steven J. Schwartz.,,,,
Sheridan1925,manuscript,"Edwin M. Sheridan,","""The Lost Woman of San Nicolas,""",Lost Woman of San Nicolas,Manuscript,,,,,1925,1925-01-01,1-16,manuscript,1925,"Ventura County Museum of History and Art, Ventura, CA","Ventura County, CA","Ventura, California",Y,,"""Permission granted orally and informally by Charles Johnson, archivist for Ventura County Museum. He explained that title is unclear -- owned originally (and maybe still? unclear) by Ventura County Library Agency, who deposited it and many other manuscripts with the Ventura County Museum. Likely it is in the public domain. Regardless, no one should challenge""",,,,,
Terry1882,manuscript,"James Terry,","""Reminiscences of George Nidever and Charles Brown of the Early History of Santa Barbara and the Fining [Finding] of the Woman (Indian) of San Nicolas Island,""",Reminiscences of George Nidever and Charles Brown of the Early History of Santa Barbara and the Fining [Finding] of the Woman (Indian) of San Nicolas Island,"Manuscript 770,",,,16,March,1882,1882-03-16,1-10,Manuscript 770,1882,"Braun Research Library Collection, Autry National Center",Los Angeles,N/A,Y,,"Manuscript Collection, Braun Research Library Collection, Autry National Center, Los Angeles; MS.770, Reminiscences of George Nidever and Charles Brown of the Early History of Santa Barbara and the Finding of the Woman (Indian) of San Nicolas Island, 10 pages","Courtesy of the Braun Research Library, Autry National Center of the American West, Los Angeles; Manuscript Collection, MS. 770.",,,,
MillennialStar1892,newspaper-article,,"""The Isle of Skulls,"" ",Isle of Skulls,<i>Latter-Day Saints' Millennial Star</i> (Liverpool),"54,",no. 33,15,August,1892,1892-08-15,517-18 ,,,,,"Liverpool, England, United Kingdom",Public domain,,"(N) Manchester, England",,,,,
Holder1899_TOW,newspaper-article,"Charles Frederick Holder, ","""The Wind-Swept Island of San Nicolas,"" ",Wind-Swept Island of San Nicolas,<i>Otago (NZL) Witness</i>,,no. 2388,7,December,1899,1899-12-07,55,,,,,"Dunedin, South Island, New Zealand",Public domain,,"Holder, Charles F. ","New Zealand periodicals published in this archive were found via the National Library of New Zealand’s Papers Past project: https://paperspast.natlib.govt.nz. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in New Zealand, we request that you cite the original source at the National Library of New Zealand, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about New Zealand copyright law, including fair use, can be found here: https://paperspast.natlib.govt.nz/copyright. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
AlbanyEveningJournal1853,newspaper-article,"[Goliah],","""A Female Robinson Crusoe,"" ",Female Robinson Crusoe ,<i>Albany (NY) Evening Journal</i>,"24, ",no. 7172,2,November,1853,1853-11-02,2,,,,,"Albany, New York",Public domain,,,,,,,
AlbanyEveningJournal1879,newspaper-article,,"""A Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years,""",Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years,<i>Albany (NY) Evening Journal</i>,"49,",no. 14830,14,February,1879,1879-02-14,1,The Journal,,,,"Albany, New York",Public domain,,,,,,,
AlexandriaGazette1889,newspaper-article,,"""A Veritable Female Crusoe,"" ",Veritable Female Crusoe ,<i>Alexandria (VA) Gazette</i>,"90, ",no. 169,18,July,1889,1889-07-18,1,,,,,"Alexandria, Virginia",Public domain,,,,,,,
ArizonaWeeklyJournalMiner1893,newspaper-article,,"""An Island Transformed,"" ",Island Transformed ,<i>Arizona Weekly Journal-Miner</i>,"30, ",no. 10,19,July,1893,1893-07-19,1,,,,,"Prescott, Arizona",Public domain,,,,,,,
ArkansasCityTraveler1892,newspaper-article,,"""Wild Dogs Ate Her Child. The Story of San Nicolas Island and Its Last Inhabitant,"" ",Wild Dogs Ate Her Child. The Story of San Nicolas Island and Its Last Inhabitant,<i>Arkansas City (KS) Traveler</i>,"5, ",no. 189,7,April,1892,1892-04-07,6,,,,,"Arkansas City, Kansas",Public domain,,,,,,,
AugustaChronicle1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,"" ",Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed ,<i>Augusta (GA) Chronicle</i>,,,29,May,1885,1885-05-29,6,,,,,"Augusta, Georgia",Public domain,,,,,,,
BangorDailyWhigAndCourier1885,newspaper-article,"[Fred Spalding Witter],","""Queen of San Nicolas. The Feminine Crusoe of the Pacific Ocean—Eighteen Years Alone on a Desert Island Seventy Miles from Shore,"" ",Queen of San Nicolas. The Feminine Crusoe of the Pacific Ocean—Eighteen Years Alone on a Desert Island Seventy Miles from Shore,<i>Bangor (ME) Daily Whig and Courier</i>,"52, ",no. 121,21,May,1885,1885-05-21,1,,,,,"Bangor, Maine",Public domain,,,,,,,
BelvidereStandard1853,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Belvidere (IL) Standard and Boone Co. Advertiser</i>,"2, ",no. 33,6,December,1853,1853-12-06,1,,,,,"Belvidere, Illinois",Public domain,,,,,,,
BismarckDailyTribune1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. How She Lived Eighteen Years on a Desert Island. The Story of the Lost Woman of San Nicolas—Her Ingenuity and Fertility of Invention—A Wonderful History,"" ",Feminine Crusoe. How She Lived Eighteen Years on a Desert Island. The Story of the Lost Woman of San Nicolas—Her Ingenuity and Fertility of Invention—A Wonderful History ,<i>Bismarck (ND) Daily Tribune</i>,"13, ",no. 100,28,June,1885,1885-06-28,2,,,,,"Bismarck, North Dakota",Public domain,,,,,,,
BismarckDailyTribune1892,newspaper-article,,"""The Isle of Skulls,"" ",Isle of Skulls,<i>Bismarck (ND) Daily Tribune</i>,12,,27,April,1892,1892-04-27,4,,,,,"Bismarck, North Dakota",Public domain,,,,,,,
Blanco1882,newspaper-article,"Blanco,","""Santa Barbara. A Visitor's Views Regarding Its Climate and Attractions,"" ",Santa Barbara. A Visitors Views Regarding Its Climate and Attractions,<i>Santa Barbara (CA) Daily Press</i>,"10, ",no. 121,23,February,1882,1882-02-23,2,,,,,"Santa Barbara, California",Public domain,,,,,,,
Blanco1882_TIS,newspaper-article,"Blanco,","""California Letter. Santa Barbara--Climate--Flowers--Channel Islands--Personal and Other Matters,""",California Letter. Santa Barbara--Climate--Flowers--Channel Islands--Personal and Other Matters,<i>Indianapolis (IN) Sentinel</i>,"31, ",no. 43,12,February,1882,1882-02-12,1,,,,,"Indianapolis, Indiana",Public domain,,,,,,,
BostonEveningTranscript1879,newspaper-article,"[Absalom B. Stuart],","""A Female Crusoe,"" ",Female Crusoe ,<i>Boston Evening Transcript</i>,"52,",no. 15915,5,March,1879,1879-03-05,3,,,,,"Boston, Massachusetts",Public domain,,,,,,,
BuffaloCourierRecord1897,newspaper-article,,"""Fruitful Field of Exploration. Channel Islands, off the California Coast. Golgotha of [the] Pacific. Acres of Barren Rocks and Sandy Wastes Strewn with Human Bones. Natives Only a Memory. Wild Woman of San Nicolas—Strange Relics of a Vanished Race—Heaps of Whalebone,"" ","Fruitful Field of Exploration. Channel Islands, off the California Coast. Golgotha of [the] Pacific. Acres of Barren Rocks and Sandy Wastes Strewn with Human Bones. Natives Only a Memory. Wild Woman of San Nicolas—Strange Relics of a Vanished Race—Heaps of Whalebone",<i>Buffalo (NY) Courier-Record</i>,"62, ",no. 150,30,May,1897,1897-05-30,9,,,,,"Buffalo, New York",Public domain,,,,,,,
BurlingtonFreePress1879,newspaper-article,,"""A Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years,""",Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years,<i>Burlington (VT) Free Press</i>,"50,",no. 36,7,March,1879,1879-03-07,1,The Free Press Association,,,,"Burlington, Vermont",Public domain,,,,,,,
CambriaFreeman1879,newspaper-article,,"""A Female Robinson Crusoe,"" ",Female Robinson Crusoe ,<i>Cambria (PA) Freeman</i>,"13, ",no. 9,21,March,1879,1879-03-21,1,,,,,"Ebensburg, Pennsylvania",Public domain,,,,,,,
CambriaFreeman1880,newspaper-article,"[Absalom B. Stuart],","""An Indian Female Crusoe. The Strange Story of a Woman Who Lived Eighteen Years Alone on an Island in the Pacific,""",Indian Female Crusoe. The Strange Story of a Woman Who Lived Eighteen Years Alone on an Island in the Pacific,<i>Cambria (PA) Freeman</i>,"14,",no. 35,24,September,1880,1880-09-24,1,Henry A. McPike,,,,"Ebensburg, Pennsylvania",Public domain,,,,,,,
CambriaFreeman1885,newspaper-article,"[Fred S. Witter],","""A Feminine Crusoe,"" ",Feminine Crusoe ,<i>Cambria (PA) Freeman</i>,"19, ",no. 22,3,July,1885,1885-07-03,4,,,,,"Ebensburg, Pennsylvania",Public domain,,,,,,,
CambridgeChronicle1853,newspaper-article,"[Goliah],","""A Female Robinson Crusoe,""",Female Robinson Crusoe,<i>Cambridge (MA) Chronicle</i>,"8,",no. 46,12,November,1853,1853-11-12,4,Andrew Reid,,,,"Cambridge, Massachusetts",Public domain,,,,,,,
ChicagoDailyTribune1872,newspaper-article,"[Josephine Walcott],","""Hona Maria,""",Hona Maria,<i>Chicago Daily Tribune</i>,"25,",no. 362,11,August,1872,1872-08-11,5,Tribune,,,,"Chicago, Illinois",Public domain,,,,,,,
ChicagoDailyTribune1891,newspaper-article,,"""She Lived Alone Among Skeletons,""",She Lived Alone Among Skeletons,<i>Chicago Daily Tribune</i>,"51, ",no. 278,5,October,1891,1891-10-05,6,,,,,"Chicago, Illinois",Public domain,,,,,,,
ChicagoDailyTribune1892,newspaper-article,,"""Covered with Human Skeletons. The Story of San Nicolas Island and Its Last Inhabitant,""",Covered with Human Skeletons. The Story of San Nicolas Island and Its Last Inhabitant,<i>Chicago Daily Tribune</i>,"51,",no. 107,16,April,1892,1892-04-16,pt. 2 p. 16,Tribune,,,,"Chicago, Illinois",Public domain,,,,,,,
ChristianAdvocateAndJournal1847,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>New York Christian Advocate and Journal</i>,"22, ",no. 9,3,March,1847,1847-03-03,36,,,,,"New York, New York",Public domain,,,,,,,
CincinnatiCommercialTribune1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,"" ",Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed ,<i>Cincinnati Commercial Gazette</i>,"45, ",no. 231,18,May,1885,1885-05-18,2,,,,,"Cincinnati, Ohio",Public domain,,,,,,,
ClevelandPlainDealer1904,newspaper-article,,"""Relics of a Vanished Race. Found on a Lonely Island Off California,""",Relics of a Vanished Race. Found on a Lonely Island Off California,<i>Cleveland Plain Dealer</i>,"63,",no. 45,14,February,1904,1904-02-14,11,,,,,"Cleveland, Ohio",Public domain,,,,,,,
CommercialAdvertiser1857,newspaper-article,"C. J. W. Russell,","""A California Crusoe. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicolas,""",California Crusoe. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicolas,<i>Honolulu (Hawaii) Pacific Commercial Advertiser</i>,2,no. 6,6,August,1857,1857-08-06,4,,,,,"Honolulu, Hawaii",,,,,,,,
CornwallChronicle1879,newspaper-article,,"""Swearing by Dispatch,""",Swearing by Dispatch,<i>Launceston (AUS) Cornwall Chronicle</i>,43,no. 5205,21,May,1879,1879-05-21,3,,,,,"Launceston, Tasmania, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
CorsicanaDailySun1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Corsicana (TX) Daily Sun</i>,"23, ",no. 266,20,June,1921,1921-06-20,6,,,,,"Corsicana, Texas",Public domain,,,,,,,
CortlandNews1885,newspaper-article,"[Fred Spalding Witter],","""Crusoe in Petticoats. A Woman Who Was Eighteen Years on a Desert Island,""",Crusoe in Petticoats. A Woman Who Was Eighteen Years on a Desert Island,<i>Cortland (NY) News</i>,"6,",no. 2,26,June,1885,1885-06-26,2,Clayton H. Buell,,,,"Cortland, New York",Public domain,,,,,,,
CurrentLiterature1892,newspaper-article,,"""Isle of Skulls,""",Isle of Skulls,<i>New York Current Literature</i>,"10, ",no. 1,1,May,1892,1892-05-01,92-94,,,,,"New York, New York",Public domain,,,,,,,
DailyAltaCalifornia1853,newspaper-article,,"""Female Robinson Crusoe—The Ladies' Fair,""",Female Robinson Crusoe—The Ladies Fair,<i>San Francisco Daily Alta California</i>,"4,",no. 295,13,November,1853,1853-11-13,2,E. Gilbert,,,,"San Francisco, California",Public domain,,,,,,"Published in San Francisco less than a month after the Lone Woman’s death in Santa Barbara, this article relates the story of the Lone Woman’s life and ""discovery"" by sea otter hunter George Nidever.  It then mentions two artifacts, a ""dress of bird skins"" and a wicker bottle, both of which will be exhibited at a Ladies Fair organized to raise funds for the city’s first cathedral.  The article describes the items of the Lone Woman’s manufacture as ""curiosities,"" conveying a sense of wonder that a woman could ""make anything so perfect"" with what the writer perceived to be limited tools.  The article’s headline associates the Lone Woman with Robinson Crusoe and the closing paragraph suggests that, due to the influence of George Nidever’s wife, the Lone Woman herself sought Christian conversion before dying. 
 
This article is important in part for its documentation of the Lone Woman’s cormorant garment, which subsequently was lost.  The dress was reputedly sent to the Vatican, evidence of the success of the Church’s ""civilizing"" project, but it has not yet been found.  The water bottle basket, later housed in the California Academy of Sciences, was destroyed in the San Francisco earthquake and fire of 1906.
 
After appearing in the <i>Daily Alta California</i>, this article of local interest—it discusses an upcoming Ladies Fair—served as a source for an article published the next day in a rival San Francisco newspaper, the <i>San Francisco Daily Placer Times and Transcript</i>. The day after that, however, the <i>Sacramento Daily Union</i> adapted the story, dropping local information about the Ladies Fair and simply retelling the narrative of the Lone Woman’s ""discovery"" and death.  When the Sacramento editors reprinted the article, they erroneously placed the Lone Woman’s death in San Francisco (their source for the story) instead of Santa Barbara.",
