"NOTE

The tab ""DocumentGroups"" was built to display document groups. This tab explains all document relationships as determined by Sara and Rachel as of November 2017.

There are a few document groups included on this tab that are not and should not appear on the ""DocumentGroups"" tab or the website because, for instance, one document responds to another doesn't fit any of the following categories: a reprint/paraphrase/truncation.  It just references or responds to another document.  An example: Yates1892_29Feb responds to Miller1891 but does not reprint/paraphrase/truncate any of the actual content in Miller 1891 ",Document Key of Original,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Publication Date,"Relationship notes 


(Direct reprints, Paraphrase, References, Quotes, Truncated reprint)


*""Direct reprints"" can (and often do) differ typographically but not by content, including minor changes of wording","Author Attribution Provided?

Quotation marks only used to indicate reprinted text when noted","References to Additional Sources?

Quotation marks only used to indicate reprinted text when noted","Publication Attribution Provided for reprinted/related copy?

Quotation marks only used to indicate reprinted text when noted"
,,TheMemphisDailyAppeal1857,,,,,,4/24/1857,Truncated reprint of Russell1856_HCF--14 paragraphs reprinted,Y--Russell,N,Y--Russell1856_HCF
,,HolmesCountyRepublican1857,,,,,,5/7/1857,Truncated reprint of Russell1856_HCF--14 paragraphs reprinted,Y--Russell,N,Y--Russell1856_HCF
,,Russell1857_CC,,,,,,5/20/1857,"Direct reprint of Russell1856_EB3(42)--w/ scattered sentences removed
[Truncated reprint of Russell1856_HCF--13 paragraphs reprinted, w/o conclusion, w/ new introduction (1 paragraph paraphrased)]",Y--Russell,N,Y--Russell1856_HCF
,,CommercialAdvertiser1857,,,,,,8/6/1857,Truncated reprint of Russell1856_HCF--14 paragraphs reprinted,Y--Russell,N,Y--Russell1856_HCF
,,TheArgus1857,,,,,,10/9/1857,"Truncated reprint of Russell1856_HCF--14 paragraphs reprinted
References ""American paper""",Y--Russell,"Maybe--""American paper""",Y--Russell1856_HCF
,,,TheGoulburnHerald1857,,,,,12/5/1857,"Direct reprint of TheArgus1857
Truncated reprint of Russell1856_HCF--14 paragraphs reprinted
References ""American paper""",Y--Russell,"Maybe--""American paper""",Y--Russell1856_HCF
,,Taylor1860_12(11),,,,,,5/4/1860,Installment of series,,,
,,,,Taylor1860_13(16),,,,6/8/1860,"Installment of series
Quotes SantaBarbaraGazette1856 (as part of much larger article)",N,Y--SantaBarbaraGazette1856,Y--SantaBarbaraGazette1856
,,Russell1961,,,,,,6/10/1961,Direct reprint of Russell1856_HCF,Y--Russell,N,Y--Russell1856_HCF
,,,,,Taylor1961,,,6/10/1961,Direct reprint of Taylor1860_13(16),Y--Taylor,"Y--SantaBarbaraGazette1856, uses ",Y--SantaBarbaraGazette1856
,,,HeizerElsasser1961_2D,,,,,6/10/1961,Direct reprint of HutchingsCaliforniaMagazine1857--w/ annotation,Y--Anonymous,N,N
,,Russell1966,,,,,,1/1/1966,Direct reprint of Russell1856_HCF,Y--Russell,N,Y--Russell1856_HCF
,,,,,Taylor1966,,,1/1/1966,Direct reprint of Taylor1860_13(16),Y--Taylor,"Y--SantaBarbaraGazette1856, uses ",Y--SantaBarbaraGazette1856
,,,HeizerElsasser1966_2D,,,,,1/1/1966,Direct reprint of HutchingsCaliforniaMagazine1857--w/ annotation,Y--Anonymous,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Walcott1872 & reprints/related,Walcott1872,,,,,,,8/1/1872,,,,
,,ChicagoDailyTribune1872,,,,,,8/11/1872,Direct reprint of Walcott1872,N,N,Y--Walcott1872
,,Clifford1921,,,,,,11/1/1921,Direct reprint of Walcott1872,Y--Walcott Clifford,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Nidever1878 & reprints/related,Nidever1878,,,,,,,1/1/1878,,,,
,,Murray1878,,,,,,11/4/1878,Paraphrases account in Nidever1878,Y--Nidever,N,"Y--Nidever1878
""Mr. George Nidever's statement regarding"""
,,Ellison1937,,,,,,1/1/1937,"Direct reprint of Nidever1878--w/ annotation, introduction, pictures, bibliography",N,N,N
,,Nidever1961,,,,,,6/10/1961,Direct reprint of Nidever1878--w/ annotation,"Y--Nidever, Ellison (editor)",N,"Y--Nidever1878, Ellison1937"
,,Nidever1966,,,,,,1/1/1966,Direct reprint of Nidever1878--w/ annotation,"Y--Nidever, Ellison (editor)",N,"Y--Nidever1878, Ellison1937"
,,,Ellison1984,,,,,1/1/1984,"Direct reprint of Ellison1937
(Direct reprint of Nidever1878--w/ annotation, introduction, pictures, bibliography)","Y--Nidever, Ellison (editor)",N,"Y--Nidever1878, Ellison1937"
,,,,,,,,,,,,
,,,,,,,,,,,,
Dittman1878 & reprints/related,Dittman1878,,,,,,,1/1/1878,,,,
,,Dittman1961,,,,,,6/10/1961,Direct reprint of Dittman1878,Y--Dittman,N,Y--Dittman1878
,,Dittman1966,,,,,,1/1/1966,Direct reprint of Dittman1878,Y--Dittman,N,Y--Dittman1878
,,,,,,,,,,,,
,,,,,,,,,,,,
Stuart1878 & reprints/related,Stuart1878,,,,,,,12/30/1878,,Y--Stuart,N,N
,San Francisco Call (see StillSearching),,,,,,,,,,,
,,Stuart1879_Jan28,,,,,,1/28/1879,"Direct reprint of (first half of) Stuart1878
References Stuart1878
References Hardacre1880_SM
Editor's annotations

(first installment)",Y--Stuart,N,"Y--Stuart1878
Y--Hardacre1880_SM"
,,Stuart1879_Jan29,,,,,,1/29/1879,"Direct reprint of (first half of) Stuart1878
Conclusion of Stuart1879_Jan28
Editor's annotations

(second installment)",Y--Stuart,N,"Y--Stuart1878
Y--Hardacre1880_SM"
,,,SanFranciscoChronicle1879,,,,,2/2/1879,Paraphrase of Stuart1878,N,N,Y--SanFranciscoChronicle1879
,,,NewYorkHerald1879,,,,,2/14/1879,"Truncated reprint of Stuart1878--9 paragraphs reprinted
References San Francisco Call",N,N,Y--San Francisco Call (see StillSearching)
,,,AlbanyEveningJournal1879,,,,,2/14/1879,"Direct reprint of SanFranciscoChronicle1879 
(Paraphrase of Stuart1878)",N,N,Y--SanFranciscoChronicle1879
,,,ThePioneer1879,,,,,2/15/1879,"Direct reprint of SanFranciscoChronicle1879--w/ paraphrased conclusion
(Paraphrase of Stuart1878)",N,N,Y--SanFranciscoChronicle1879
,,,RochesterDemocratAndChronicle1879,,,,,2/17/1879,"Truncated reprint of Stuart1878--w/ some sentences/clauses removed, w/o last short paragraph
References Winona Republican",Y--Stuart,N,Y--Stuart1878
,,,UticaDailyObserver1879,,,,,2/19/1879,Truncated reprint of SanFranciscoChronicle1879--7 paragraphs reprinted w/ new introduction,N,N,Y--SanFranciscoChronicle1879
,,,TheCouncilGroveRepublican1879,,,,,2/22/1879,"Direct reprint of SanFranciscoChronicle1879--w/ paraphrased conclusion
(Paraphrase of Stuart1878)",N,N,Y--SanFranciscoChronicle1879
,,,StLawrencePlaindealer1879,,,,,2/27/1879,"Direct reprint of SanFranciscoChronicle1879--w/ paraphrased conclusion
(Paraphrase of Stuart1878)",N,N,Y--SanFranciscoChronicle1879
,,,WatkinsExpress1879,,,,,2/27/1879,"Direct reprint of SanFranciscoChronicle1879--w/ paraphrased conclusion
(Paraphrase of Stuart1878)",N,N,Y--SanFranciscoChronicle1879
,,,DecaturDailyReview1879,,,,,2/27/1879,"Direct reprint of SanFranciscoChronicle1879--w/ paraphrased conclusion
(Paraphrase of Stuart1878)",N,N,Y--SanFranciscoChronicle1879
,,SalemWeeklyReview1879,,,,,,3/1/1879,New article with text from Stuart1878,N,N,"Y--
""San Francisco Papers"""
,,,TheInterOcean1879,,,,,3/3/1879,"Direct reprint of NewYorkHerald1879
(Truncated reprint of Stuart1878--18 paragraphs reprinted
References San Francisco Call)",N,N,Y--San Francisco Call (see StillSearching)
,,,ReadingTimesAndDispatch1879,,,,,3/3/1879,"Truncated reprint of SanFranciscoChronicle1879--7 paragraphs reprinted, w/ new introduction and scattered sentences removed/paraphrased",N,N,Y--SanFranciscoChronicle1879
,,,NewYorkTimes1879,,,,,3/3/1879,"Paraphrase of SanFranciscoChronicle1879
(Paraphrase of Stuart1878)",N,N,"Y--
""San Francisco journals"""
,,TheTimes1879,,,,,,3/4/1879,Based on SanFranciscoChronicle1879,N,N,Y--San Francisco Call (see StillSearching)
,,,BostonEveningTranscript1879,,,,,3/5/1879,"Direct reprint of NewYorkTimes1879
[Paraphrase of SanFranciscoChronicle1879
(Paraphrase of Stuart1878)]",N,N,Y--NewYorkTimes1879
,,,BurlingtonFreePress1879,,,,,3/7/1879,"Direct reprint of SanFranciscoChronicle1879--w/ paraphrased conclusion
(Paraphrase of Stuart1878)",N,N,Y--SanFranciscoChronicle1879
,,,CambriaFreeman1879,,,,,3/21/1879,Truncated reprint of SalemWeeklyReview1879--w/ text from Stuart1878,N,N,"Y--
""San Francisco Papers"""
,,,LowellDailyCitizen1879,,,,,3/21/1879,"Direct reprint of UticaDailyObserver1879
(Truncated reprint of SanFranciscoChronicle--7 paragraphs reprinted w/ new introduction)",N,N,Y--SanFranciscoChronicle1879
,,,TheNewbernian1879,,,,,3/22/1879,"Direct reprint of NewYorkTimes1879--w/o last sentence
[Paraphrase of SanFranciscoChronicle1879
(Paraphrase of Stuart1878)]",N,N,"Y--
""San Francisco journals"""
,,,TheRedCloudChief1879,,,,,3/27/1879,"Direct reprint of SanFranciscoChronicle1879--w/ paraphrased conclusion
(Paraphrase of Stuart1878)",N,N,Y--SanFranciscoChronicle1879
,,,TimesOfIndia1879,,,,,3/27/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TiffinTribune1879,,,,,4/3/1879,"Direct reprint of NewYorkHerald1879
(Truncated reprint of Stuart1878--18 paragraphs reprinted
References San Francisco Call)",N,N,Y--San Francisco Call (see StillSearching)
,,,ThePeeDeeBee1879,,,,,4/5/1879,"Direct reprint of NewYorkTimes1879--w/o last sentence
[Paraphrase of SanFranciscoChronicle1879
(Paraphrase of Stuart1878)]",N,N,"Y--
""San Francisco journals"""
,,,TheBlueRidgeBlade1879,,,,,4/12/1879,"Direct reprint of UticaDailyObserver1879--w/o introduction
(Truncated reprint of SanFranciscoChronicle--6 paragraphs reprinted w/ new introduction)",N,N,Y--SanFranciscoChronicle1879
,,,TheGazette1879,,,,,5/3/1879,"Paraphrases TheTimes1879--maintains numerous phrases, w/ additional commentary and description, w/ new introduction, w/ new conclusion,

(Based on SanFranciscoChronicle1879)
References ""San Francisco newspaper""
Misattribution to London Telegraph",N,"Y--""San Francisco newspaper""","Y--TheTimes1879

Misattribution to London Telegraph"
,,,TheQueanbeyanAge1879,,,,,5/7/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheWaggaWaggaAdvertiser1879,,,,,5/7/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,,TheArgus1879,,,,5/15/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheNorthernStar1879,,,,,5/17/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheMorningBulletin1879,,,,,5/19/18789,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheGoulburnHeraldAndChronicle1879,,,,,5/19/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheQueenslandTimes1879,,,,,5/20/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,CornwallChronicle1879,,,,,5/21/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheNewtownRegister1879,,,,,5/22/1879,"Direct reprint of NewYorkTimes1879--w/o last sentence
[Paraphrase of SanFranciscoChronicle1879
(Paraphrase of Stuart1878)]",N,N,"Y--
""San Francisco journals"""
,,,,TheMaitlandMercury1879,,,,5/22/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheNewfoundlander1879,,,,,5/23/1879,"Paraphrases TheTimes1879--maintains numerous phrases, w/ additional commentary and description, w/ new introduction, w/ new conclusion,

(Based on SanFranciscoChronicle1879)
References ""San Francisco newspaper""
Misattribution to London Telegraph",N,"Y--""San Francisco newspaper""","Y--TheTimes1879

Misattribution to London Telegraph"
,,,TheWarwickExaminerAndTimes1879,,,,,5/24/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheCapricornian1879,,,,,5/24/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheKiamaIndependent1879,,,,,5/27/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,ThePublicLedger1879,,,,,5/30/1879,"Paraphrases TheTimes1879--maintains numerous phrases, w/ additional commentary and description, w/ new introduction, w/ new conclusion,

(Based on SanFranciscoChronicle1879)
References ""San Francisco newspaper""
Misattribution to London Telegraph",N,"Y--""San Francisco newspaper""","Y--TheTimes1879

Misattribution to London Telegraph"
,,,ShipwreckedMariner1879,,,,,6/1/1879,reprint of SalemWeeklyReview1879--w/ text from Stuart1878,N,N,Y--San Francisco Call (see StillSearching)
,,,SteubenFarmersAdvocate1879,,,,,6/6/1879,"Direct reprint of NewYorkTimes1879--w/o last sentence
[Paraphrase of SanFranciscoChronicle1879
(Paraphrase of Stuart1878)]",N,N,"Y--
""San Francisco journals"""
,,,TheKapundaHerald1879,,,,,6/6/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,,TheOtagoDailyTimes1879,,,,6/2/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,NewcastleMorningHerald1879,,,,,6/7/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,,NorthOtagoTimes1879,,,,6/9/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,,TheStar1879_Jun9,,,,6/9/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheNorthernArgus1879,,,,,6/13/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,,TheSouthAustralianRegister1879,,,,6/18/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,,ThamesAdvertiser1879,,,,7/2/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,,TheBorderWatch1879,,,,8/2/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheStar1879_Oct25,,,,,10/25/1879,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,TheMillheimJournal1879,,,,,12/4/1879,"Direct reprint of TheTimes1879, with paraphrased opening sentence
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,N
,,,Stuart1880,,,,,9/1/1880,Direct reprint of Stuart1878,Y--Stuart,N,N
,,,Stuart1880_TCE,,,,,9/4/1880,Truncated reprint of Stuart1878--11 paragraphs reprinted,Y--Stuart,N,Y--Stuart1880
,,,CambriaFreeman1880,,,,,9/24/1880,Truncated reprint of Stuart1878--6 paragraphs reprinted,N,N,N
