Document Key,A case could be make for obtaining as of 2017-11-10,Author Name,Article Title,"Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Month,"Standardized Date 

(yyyy-mm-dd)","Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,Cost,Notes
TheDesMoinesRegister1969_Sept28,,,"""Sunday evening."" ",Des Moines Register (Iowa Magazine) ,,,(28 Sep 1969): ,9/28/1969,4TV. ,,,,,
TheDesMoinesRegister1971,,,"""Summaries and Highlights."" ",Des Moines Register (Iowa Magazine) ,,,(16 May 1971): ,5/16/1971,10TV. ,,,,,
TheDesMoinesRegister1972_Dec31,,,"""Summaries and Highlights."" ",Des Moines Register (Iowa Magazine) ,,,(31 Dec 1972): ,12/31/1972,4TV. ,,,,,
TheDesMoinesRegister1972_Feb27,,,"""Summaries and Highlights."" ",Des Moines Register (Iowa Magazine) ,,,(27 Feb 1972): ,2/27/1972,8TV. ,,,,,
TheDesMoinesRegister1972_Nov19,,,"""Summaries and Highlights."" ",Des Moines Register (Iowa Magazine) ,,,(19 Nov 1972): ,11/19/1972,10TV. ,,,,,
TheDesMoinesRegister1964,,,"""'Blue Dolphins' For Des Moines."" ",Des Moines Sunday Register ,,,(23 Aug 1964): ,8/23/1964,9G. ,,,,,
TheEagle1972,,,"""Movie Profiles."" ",Eagle (Tel-Aire Magazine) ,"96, ",no. 1 ,(2 Jan 1972): ,1/2/1972,,,,,,
ElPasoHeraldPost1971,,,"""Wednesday Evening."" ",El Paso Herald-Post (Showtime Magazine),"91, ",no. 80 ,(3 Apr 1971): ,4/3/1971,9,,,,,
TheEmporiaGazette1963_Apr8,,,"""Based On California History: Book By Scott O'Dell Wins William Allen White Award."" ",Emporia Gazette ,,,(6 Apr 1963): ,4/6/1963,6,,,,,
TheEmporiaGazette1963_Oct22,,,"""White Book Award Winner To Be In Emporia Oct. 28th."" ",Emporia Gazette ,"74th year, ",no. 71 ,(22 Oct 1963): ,10/22/1963,13,,,,,
TheEveningIndependent1964,,,"""Adventure In Weslin Film."" ",Evening Independent ,"102nd year, ",no. 51 ,(1 Sep 1964): ,9/1/1964,8,,,,,
TheEveningReview1977,,,"""Week-end Television Listings: Saturday's Programs."" ",Evening Review ,"98, ",no. 148 ,(16 Apr 1977): ,4/16/1977,7,,,,,
ExpressAndNews1964,,,"""Comedy Stars Curtises and a Dog."" ",Express And News ,"98th year, ",no. 39 ,(7 Jun 1964): ,6/7/1964,6H. ,,,,,
FairbanksDailyNewsAndMiner1965,,,"""Children Vote for Favorite Books; Use as Gift Guide."" ",Fairbanks Daily News-Miner ,"43, ",no. 290 ,(13 Dec 1965): ,12/13/1965,5,,,,,
FondDuLacCommonwealthReporter1965,,,,Fon du Lac Commonwealth Reporter ,"39, ",no. 244 ,(17 Jul 1965): ,7/17/1965,5,,,,,
TheDailyFreeman1976,,,,Freeman (Tempo Magazine) ,"105, ",no. 238 ,(10 Oct 1976): ,10/10/1976,15,,,,,
TheGastoniaGazette1968,,,"""Seven New Network Series Offered On NBC."" ",Gastonia Gazette (Weekender Magazine) ,,,(15 Sep 1968): ,9/15/1968,P8. ,,,,,
TheGettysburgTimes1963,,,"""Book Display."" ",Gettysburg Times ,"61, ",no. 268 ,(11 Nov 1963): ,11/11/1963,1 & 3. ,,,,,
GlobeGazette1964,,,"""This week at the theaters."" ",Globe-Gazette ,"104, ",no. 173 ,(20 Aug 1964): ,8/20/1964,10,,,,,
GrandPrarieDailyNews1966,,,"""Library Lines."" ",Grand Prarie Daily News ,"68, ",no. 218 ,(11 Sep 1966): ,9/11/1966,11,,,,,
TheGuthrian1965,,,"""From Area Libraries Racoon."" ",Guthrian ,"89, ",no. 14 ,(23 Aug 1965): ,8/23/1965,5,,,,,
HazletonStandardSpeaker1964_Aug18,,,"""What's at the Movies?"" ",Hazleton Standard-Speaker ,"99, ","no. 27,423 ",(18 Aug 1964): ,8/18/1964,19,,,,,
HazletonStandardSpeaker1964_Oct2,,,"""What's at the Movies?"" ",Hazleton Standard-Speaker ,"99, ","no. 27,461 ",(2 Oct 1964): ,10/2/1964,23,,,,,
HazletonStandardSpeaker1964_Sep29,,,"""What's at the Movies?"" ",Hazleton Standard-Speaker ,"99, ","no. 27,458 ",(29 Sep 1964): ,9/29/1964,19,,,,,
TheHerald1974,,,"""Sunday."" ",Herald (TV Time Magazine) ,"7th year, ",no. 186 ,(22 Nov 1974): ,11/22/1974,14,,,,,
TheHerald1976,,,"""Monday/April 26."" ",Herald (TV Time Magazine) ,"49th year, ",no. 234 ,(24 Apr 1976): ,4/24/1976,,,,,,
TheHerald1977,,,"""Movies."" ",Herald (TV Time Magazine) ,"50th year, ",no. 270 ,(4 Jun 1977): ,6/4/1977,8,,,,,
TheHeraldBanner1972,,,"""Movie Profiles."" ",Herald Banner (Tel-Aire Magazine) ,"78, ",no. 346 ,(31 Dec 1972): ,12/31/1972,11,,,,,
TheHeraldBanner1973,,,"""Movie Profiles."" ",Herald Banner (Tel-Aire Magazine) ,"79, ",no. 159 ,(1 Jul 1973): ,7/1/1973,14,,,,,
HeraldZeitung1980,,,"""Thursday Movies."" ",Herald-Zeitung  (Tele-Times Magazine) ,"89, ",no. 59 ,(14 Sep 1980): ,9/14/1980,6,,,,,
IndependentPressTelegram1977_Mar13,,,"""TV Movie Tips."" ",Independent Press-Telegram ,"25, ",no. 34 ,"(13 Mar 1977, TeleVues Section): ",3/13/1977,23,,,,,
IndependentPressTelegram1977_Oct6,,,"""Sunday."" ",Independent Press-Telegram ,"26, ",no. 13 ,"(16 Oct 1977, TeleVues Section): ",10/16/1977,6,,,,,
IndependentJournal1975,,,"""Sunday TV Marquee."" ",Independent-Journal ,"115, ",no. 168 ,"(4 Oct 1975, TV Section): ",10/4/1975,2,,,,,
TheIndexJournal1982,,,"""Sunday: Afternoon."" ",Index Journal ,"64th year, ",no. 54 ,"(17 Apr 1982, TV Index): ",4/17/1982,2,,,,,
JacksonvilleDailyJournal1970,,,"""Movies."" ",Jacksonville Daily Jounral ,"109, ",no. 1117 ,"(13 Jun 1970, TV Listings Section): ",6/13/1970,4,,,,,
JacksonvilleDailyJournal1971,,,"""Movies."" ",Jacksonville Daily Jounral ,"110, ",no. 144 ,"(24 Jul 1971, TV Listings Section): ",7/24/1971,3,,,,,
TheJeffersonBee1964,,,"""What's Showing?"" ",Jefferson Bee ,"99, ",no. 36 ,(8 Sep 1964): ,9/8/1964,,,,,,
TheJournalNews1972,,,"""Highlights and movies: Wednesday."" ",Journal News ,"86, ",no. 207 ,(26 Aug 1972): ,8/26/1972,,,,,,
TheJuniorBookshelf1961,,,"""O'Dell, S. Island of the Blue Dolphins.""",Junior Bookshelf,"25, ",no. 3 ,(Jul 1961): ,7/1/1961,150-1. ,,,,,
KingsportTimes1973_Apr10,,,"""Movies On TV."" ",Kingsport Times ,"61, ",no. 71 ,(10 Apr 1973): ,4/10/1973,,,,,,
KingsportTimes1973_May30,,,"""Movies On TV."" ",Kingsport Times ,"61, ",no. 106,(30 May 1973): ,5/30/1973,,,,,,
KingsportTimesNews1973,,,"""Movies On TV."" ",Kingsport Times News ,"42, ",no. 47 ,"(8 Apr 1973, Section C): ",4/8/1973,11C. ,,,,,
TheKokomoTribune1974,,,"""TV movies: Friday."" ",Kokomo Tribune ,"123, ",no. 347 ,(17 Aug 1974): ,8/17/1974,7,,,,,
LakeCharlesAmericanPress1964,,,"""Amusements and Arts: Movie Rating."" ",Lake Charles American Press,"67th year, ","no. 25,717 ",(31 May 1964): ,5/31/1964,26,,,,,
LeaderTimes1977,,,"""TV Log: Sunday."" ",Leader-Times ,"89, ",no. 90 ,(16 Apr 1977): ,4/16/1977,9,,,,,
LebanonDailyNews1976_Jun5,,,"""Sunday."" ",Lebanon Daily News ,"104th, ",no. 232 ,"(5 Jun 1976, TV Log Section): ",6/5/1976,4,,,,,
LebanonDailyNews1976_Nov13,,,"""Tuesday."" ",Lebanon Daily News ,"105th year, ",no. 57 ,"(13 Nov 1976, TV Log Section): ",11/13/1976,6,,,,,
TheLenoxTimeTable1961,,,"""Tempting List of Books at Library."" ",Lenox Time Table ,"86, ",no. 31 ,(20 Apr 1961): ,4/20/1961,1,,,,,
LubbockAvalancheJournal1970,,,"""Feature Movies On TV This Week."" ",Lubbock Avalanche-Journal ,"44, ",no. 22 ,"(1 Feb 1970, TV Section): ",2/1/1970,11,,,,,
LubbockAvalancheJournal1972,,,"""Feature Movies On TV This Week."" ",Lubbock Avalanche-Journal ,"46, ",no. 38 ,"(28 May 1972, TV Section): ",5/28/1972,12-3. ,,,,,
LubbockEveningJournal1953,,,"""California Island Yields Indian Lore."" ",Lubbock Evening Journal ,"30, ",no. 19 ,"(2 Oct 1953, Sect 2): ",10/2/1953,5,,,,,
McKinneyDailyCourierGazette1972,,,"""Movie Profiles."" ",McKinney Daily Courier-Gazette (Tel-Aire Magazine) ,"76, ",no. 262 ,(31 Dec 1972): ,12/31/1972,13,,,,,
TheMorningHerald1976,,,"""Tuesday."" ",Morning Herald (TV Day Magzaine) ,"103rd year, ",no. 264 ,(13 Nov 1976): ,11/13/1976,14,,,,,
NaplesDailyNews1974_Aug18,,,"""Daytime TV: Wed--Aug 21."" ",Naples Daily News ,"52nd year, ",no. 21 ,"(18 Aug 1974, TV News Section): ",8/18/1974,12H.,,,,,
NaplesDailyNews1974_Aug20,,,"""Daytime TV: Wed--Aug 21."" ",Naples Daily News ,"52nd year, ",no. 23 ,"(20 Aug 1974, Regional Scene Section): ",8/20/1974,,,,,,
NaplesDailyNews1976,,,"""TV Movies: Saturday--October 2."" ",Naples Daily News ,"54th year, ",no. 55 ,"(27 Sep 1976, TV News Section): ",9/27/1976,19H. ,,,,,
NeenahMenashaNorthwestern1974,,,"""TV today, Sun., and Mon.: Sunday."" ",Neenah-Menasha Northwestern ,107th year ,,(19 Jan 1974): ,1/19/1974,22,,,,,
NewportDailyNews1960,,,"""The People's Library: Children's Department.""",Newport Daily News ,"115, ",no. 284 ,(10 Sep 1960): ,9/10/1960,9,,,,,
NewsJournal1964,,,"""'Island Of Blue Dolphins' Makes An Enchanting Film."" ",News Journal (Weekend Magazine) ,"80, ",no. 169 ,(23 Aug 1964): ,8/23/1964,15,,,,,
NorthHillsNewsRecord1977,,,"""This week's movies: Sunday."" ",North Hills News Record (North Hills Magazine) ,"_____th year, ",no. 11 ,(16 Apr 1977): ,4/16/1977,23,,,,,
NorthwestArkansasTimes1963_Jul5,,,"""Annual Children's Book Fair Closes At U.A.""",Northwest Arkansas Times ,"204th year, ",no. 18 ,(5 Jul 1963): ,7/5/1963,7,,,,,
TheOdessaAmerican1973,,,"""Movie Marquee: Wednesday."" ",Odessa American (TV News Magazine) ,"48, ",no. 362 ,(30 Dec 1973): ,12/30/1973,14,,,,,
OgdenStandardExaminer1964,,,"""Adventure Film Stars Girl on Deserted Isle."" ",Ogden Standard-Examiner ,"77, ",no. 239 ,(26 Aug 1964): ,8/26/1964,2C.,,,,,
TheOttawaJournal1970_Nov17,,,"""TV programs and highlights: Wednesday, November 17, 1970."" ",Ottawa Journal ,"85th year, ",no. 286 ,(17 Nov 1970): ,11/17/1970,46,,,,,
TheOttawaJournal1970_Oct16,,,"""TV programs and highlights: Saturday, October 17, 1970."" ",Ottawa Journal ,"85th year, ",no. 259 ,(16 Oct 1970): ,10/16/1970,26,,,,,
TheOttawaJournal1971_Dec28,,,"""TV programs and highlights: Wednesday, December 29, 1971."" ",Ottawa Journal ,"87th year, ",no. 15 ,(28 Dec 1971): ,12/28/1971,32,,,,,
TheOttawaJournal1971_May28,,,"""TV programs and highlights: Friday, May 28, 1971."" ",Ottawa Journal ,"86th year, ",no. 142 ,(28 May 1971): ,5/28/1971,34,,,,,
TheOttawaJournal1972_Aug24,,,"""TV programs and highlights: Thursday, August 24, 1972."" ",Ottawa Journal ,"87th year, ",no. 216 ,(24 Aug 1972): ,8/24/1972,46,,,,,
TheOttawaJournal1972_Aug19,,,"""(Night) Thursday."" ",Ottawa Journal (TV Journal Magazine) ,"87th year, ",no. 212 ,(19 Aug 1972): ,8/19/1972,35,,,,,
TheOttawaJournal1970_Nov14,,,"""Wednesday, November 18."" ",Ottawa Journal (Your Cover Magazine) ,"85th year, ",no. 284 ,(14 Nov 1970): ,11/14/1970,24,,,,,
TheOttawaJournal1970_Oct17,,,"""Saturday (Day)."" ",Ottawa Journal (Your Cover Magazine) ,"85th year, ",no. 260 ,(17 Oct 1970): ,10/17/1970,6,,,,,
FulmerToODell1964,,,,"Personal communication,",,,(17 Nov 1964),11/17/1964,,,,,,
ThePoconoRecord1976,,,"""Sunday."" ",Pocono Record ,"83, ",no. 55 ,(5 Jun 1976): ,6/5/1976,,,,,,
ThePostCrescent1970_Nov18,,,"""TV Movies."" ",Post-Crescent ,"86, ",no. 73 ,"(18 Nov 1970, Section D): ",11/18/1970,D10. ,,,,,
ThePostCrescent1970_Nov26,,,"""TV Movies."" ",Post-Crescent ,"86, ",no. 80 ,"(26 Nov 1970, Section D): ",11/26/1970,D10. ,,,,,
ThePostCrescent1974,,,"""What's the Movie?: Sunday"" ",Post-Crescent (TV Time Magazine) ,,,(29 Dec 1974): ,12/29/1974,22,,,,,
ThePostStandard1961,,,"""The Public Library: Top Books for Children."" ",Post-Standard ,"132nd year, ",,(20 Mar 1961): ,3/20/1961,4,,,,,
ProgressBulletin1972,,,"""'Dolphins' To Be Shown In Claremont."" ",Progress-Bulletin ,"88, ",no. 67 ,"(6 Apr 1972, Section D): ",4/6/1972,D4. ,,,,,
RedlandsDailyFacts1963,,,"""Autho O'Dell Kingsbury Book Fair Speaker."" ",Redlands Daily Facts ,73rd year,,(3 Apr 1963): ,4/3/1963,3,,,,,
RedlandsDailyFacts1965,,,"""Scott O'Dell To Be Guest Author At Book Fair."" ",Redlands Daily Facts ,75th year,,(5 Apr 1965): ,4/5/1965,3,,,,,
SanMateoTimes1972,,,"""Tuesday."" ",San Mateo Times and Daily News Leader (Weekend Magazine) ,"72, ",no. 67 ,(18 Mar 1972): ,3/18/1972,,,,,$95,"not yet paid (fee for both SM Times docs)

Jessica Stremmel email to Sara (USC account) on Oct 7, 2014 titled ""RE: permission request/nonprofit website San Mateo Times"""
TheSeguinGazetteEnterprise1981,,,"""Movies For This Week: Sunday."" ",Seguin Gazette-Enterprise (Tele-Times Magazine) ,"92, ",no. 121 ,(15 Feb 1981): ,2/15/1981,4,,,,,
TheSeguinGazetteEnterprise1982,,,"""Sunday."" ",Seguin Gazette-Enterprise (Tele-Times Magazine) ,"93, ",no. 170 ,(18 Apr 1982): ,4/18/1982,26,,,,,
SouthernIllinoisan1977,,,"""Saturday."" ",Southern Illinoisan (Sunday Magazine) ,"25, ",no. 289 ,(11 Dec 1977): ,12/11/1977,8A. ,,,,,
TheSundayNewsAndTribune1965,,,"""Hayley Discovers Romance In 'Truth About Spring.'"" ",Sunday News and Tribune ,"39, ",no. 45 ,(18 Apr 1965): ,4/18/1965,6,,,,,
TheDailyPentagraph1961,,,"""Library Offers World Of Adventure to Youth."" ",Sunday Pentagraph ,"116th year, ",64th day ,(5 Mar 1951): ,3/5/1951,40,,,,,
TheTerreHauteStar1961,,,"""'Medal"" Juvenile Books at Library."" ",Terre Haute Star ,"112, ",no. 64 ,(14 Apr 1961): ,4/14/1961,14,,,,,
TheTimes1962,,,"""P-TA To Hose Scott O'Dell."" ",Times ,"62, ",no. 25 ,(29 Jan 1962): ,1/29/1962,14,,,,,
TheTimesHeraldRecord1976_Oct16,,,"""Television."" ",Times Herald Record ,,,(16 Oct 1976): ,10/16/1976,32,,,,,
TheTimesHeraldRecord1976_Oct10,,,"""Saturday."" ",Times Herald Record (Etcetera Magazine) ,,,(10 Oct 1976): ,10/10/1976,22,,,,,
TheTimesStandard1977,,,"""Times-Standard's TV log."" ",Times-Standard ,"124, ",no. 208 ,(31 Jul 1977): ,7/31/1977,,,,,,
TiptonDailyTribune1969,,,"""Movies For This Week."" ",Tipton Daily Tribune ,"75, ",no. 68 ,(22 Dec 1969): ,12/22/1969,7,,,,,
TusconDailyCitizen1964,,,"""At The Movies."" ",Tuscon Daily Citizen ,"92, ",no. 166 ,(11 Jul 1964): ,7/11/1964,29,,,,,
TusconDailyCitizen1966,,,"""At The Movies."" ",Tuscon Daily Citizen ,"94, ",no. 19 ,(22 Jan 1966): ,1/22/1966,35,,,,,
TusconDailyCitizen1972_Mar1,,,"""Tuscon Television."" ",Tuscon Daily Citizen ,"102, ",no. 52 ,(1 Mar 1972): ,3/1/1972,28,,,,,
TusconDailyCitizen1972_Mar2,,,"""Tuscon Television."" ",Tuscon Daily Citizen ,"102, ",no. 53 ,(2 Mar 1972): ,3/2/1972,26,,,,,
TusconDailyCitizen1974_Mar13,,,"""Tuscon Television."" ",Tuscon Daily Citizen ,"106, ",no. 58 ,(13 Mar 1974): ,3/13/1974,27,,,,,
TusconDailyCitizen1974_Mar14,,,"""Tuscon Television."" ",Tuscon Daily Citizen ,"106, ",no. 60 ,(14 Mar 1974): ,3/14/1974,27,,,,,
TusconDailyCitizen1971,,,"""Saturday TV."" ",Tuscon Daily Citizen (¡Olé! Magazine) ,"101, ",no. 167 ,"(10 Jul 1971, Magazine Section Two): ",7/10/1971,,,,,,
UkiahDailyJournal1977_Jul29,,,,Ukiah Daily Journal ,"117th year, ",no. 73 ,"(29 Jul 1977, Living Section): ",7/29/1977,7,,,,,
UkiahDailyJournal1977_Sep18,,,"""Saturday."" ",Ukiah Daily Journal ,"117th year, ",no. 110,"(18 Sep 1977, Living Section): ",9/18/1977,13,,,,,
ValleyMorningStar1953,,,"""California Island Yields Indian Lore."" ",Valley Morning Star ,"44th year, ",no. 126 ,(6 Nov 1953): ,11/6/1953,B6. ,,,,,
WinonDailyNews1961,,,"""Library Corner."" ",Winona Daily News,"106th year, ",,(20 May 1961): ,5/20/1961,9,,,,,
,,,,,,,,,,,,,,
SomethingAboutTheAuthor1990,,,"""O'Dell, Scott 1898-1989."" ",Something About the Author ,60,,(1990): ,1990,111-121.,,,,,
SomethingAboutTheAuthor2003,,,"""O'Dell, Scott 1898-1989."" ",Something About the Author ,134,,(2003): ,2003,128-133.,,,,,
SantaBarbaraNewsPress1961,,,"""Dates--In Santa Barbara's Colorful History."" ",Santa Barbara News Press ,,,"(6 Aug 1961, Section E): ",8/6/1961,E12-E13. ,,,,,
TheCalgaryHerald1964,,,"""Children's Film Field is Invaded."" ",Calgary Herald ,,,(6 Jul 1964): ,7/6/1964,10,,,,,
TheCalendar1975,,,"""Books Remembered: Scott O'Dell."" ",Calendar ,"34, ",no. 2 ,(Sep 1975-Feb 1976): ,9/1/1975,6,,,,,
TheKingstonDailyFreeman1964,,,"""P-TA Schedules Movie Three Days For Scholarships."" ",Kingston Daily Freeman ,"94, ",no. 38 ,(2 Dec 1964): ,12/2/1964,26,,,,,
NewYorkTimesBookReview1937,,,"""The Life and Adventures of George Nidever (1802-1883). Edited by William Henry Ellison. 128 pp. Berkeley, Calif.: University of California Press. $2,"" in ""Miscellaneous Brief Reviews."" ",New York Times ,"86, ","no. 28, 911 ","(21 Mar 1937, Section 7: New York Times Book Review ): ",3/21/1937,14,,,,,
BuffaloCourierExpress1960,,,"""California Rich Lure to Visitors."" ",Buffalo Courier-Express ,,,(11 Sep 1960): ,9/11/1960,14-D. ,,,,,
BuffaloCourierExpress1964,,,"""Review: Fine Children's Film Makes Bow at Buffalo."" ",Buffalo Courier-Express ,"130, ",no. 10 ,(30 Jul 1964): ,7/30/1964,7,,,,,
TheEveningNews1954,,,"""California Island Yields Indian Lore."" ",Evening News ,,,(6 Jan 1954): ,1/6/1954,4,,,,,REPRINT STATUS
TheWashingtonPost1953,,,"""California Island Has Indian Lorie."" ",Washington Post ,,"no. 28, 299 ",(8 Dec 1953): ,12/8/1953,25,,,,,
SantaBarbaraNewsPress1967,,,"""Santa Barbara's Female Crusoe,""",Santa Barbara News-Press ,113th year,,(13 Aug 1967):,8/13/1967,I 12-3,,,,,
SantaBarbaraNewsPress1960,,,"""Dates in Santa Barbara's Story,""",Santa Barbara News-Press ,,,(7 Aug 1960):,8/7/1960,F 6-7,,,,,
TheEveningPost1928,,,"""An Island Tale. Juanna Better-Than-Nothing.""","Evening Post (Wellington, New Zealand)",105,no. 23,(28 Jan 1928):,,20,,,,,
CatholicFreemansJournal1935,,,"""The Tragedy of a Deserted Island.""","Catholic Freeman's Journal (Sydney, Australia)",83,,(16 May 1935):,,12,,,,,
Jakobeit1992,,,,,,,,,,,,,,Germany
Schonfeldt1963,,,,,,,,,,,,,,Germany
Schonfeldt1978,,,,,,,,,,,,,,Germany
Stach1991,,,,,,,,,,,,,,Germany
Stach1992,,,,,,,,,,,,,,Germany
Zeit1962,,,,,,,,,,,,,,Germany
Zeit1963,,,,,,,,,,,,,,Germany
TheEveningPost1928,,,"""Juana Better-Than-Nothing"" and ""A Vanished Race."" ",Evening Post ,"105, ",23,(28 Jan 1928): ,,20,,,,,"Wellington, New Zealand

At the point we determined permissions would need to be obtained because of the piublication date, we had already decided to stop pursuing permission becuase of prioritization of work."
CatholicFreemansJournal1935,,,"""The Tradgedy of a Deserted Island.""",Catholic Freeman's Journal,"83,",,(16 May 1935):,,12,,,,,"Sydney, New South Wales

At the point we determined permissions would need to be obtained because of the piublication date, we had already decided to stop pursuing permission becuase of prioritization of work."
FulmerToODell1964,,,,,,,,,,,,,,
AmericanHistory2013,,,,,,,,,,,,,,"AmericanHistory2013_DigSur

Text and citation found through reprint online: http://www.historynet.com/gazette-american-history-april-2013.htm

If procesing this, consider getting permission for digital surrogate of online publication as well"
