number,publication,source_note,citation,article_id,citation_format,author,title,volume_number,issue_number,day,month,year,date,publisher,location,editor
184,Overland Monthly,"Overland Monthly (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. Overland Monthly promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the Atlantic Monthly and Lippincott’s, Overland was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the Overland. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the Overland absorbed Out West Magazine and tacked that title onto the end of its name. The Overland Monthly and Out West Magazine was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",Walcott1872,magazine-article,"Walcott, Josephine.","""Hona Maria.""","9,",2,,August,1872,1872-08-01,,"San Francisco, California",Anton Roman
184,Overland Monthly,"Overland Monthly (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. Overland Monthly promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the Atlantic Monthly and Lippincott’s, Overland was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the Overland. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the Overland absorbed Out West Magazine and tacked that title onto the end of its name. The Overland Monthly and Out West Magazine was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",Dall1874,magazine-article,"Dall, W. H.","""The Lords of the Isles.""","12,",6,,June,1874,1874-06-15,,"San Francisco, California",Anton Roman
184,Overland Monthly,"Overland Monthly (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. Overland Monthly promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the Atlantic Monthly and Lippincott’s, Overland was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the Overland. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the Overland absorbed Out West Magazine and tacked that title onto the end of its name. The Overland Monthly and Out West Magazine was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",Schumacher1875,magazine-article,"Schumacher, Paul.","""Some Remains of a Former People.""","15,",4,,October,1875,1875-10-01,,"San Francisco, California",Anton Roman
184,Overland Monthly,"Overland Monthly (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. Overland Monthly promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the Atlantic Monthly and Lippincott’s, Overland was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the Overland. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the Overland absorbed Out West Magazine and tacked that title onto the end of its name. The Overland Monthly and Out West Magazine was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",McDougall1890,magazine-article,"McDougall, William H.","""A Woman's Log of 1849.""","16,",93,,September,1890,1890-09-01,,"San Francisco, California",
184,Overland Monthly,"Overland Monthly (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. Overland Monthly promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the Atlantic Monthly and Lippincott’s, Overland was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the Overland. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the Overland absorbed Out West Magazine and tacked that title onto the end of its name. The Overland Monthly and Out West Magazine was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",Kinsell1891,magazine-article,"Kinsell, Martinette.","""The Santa Barbara Islands.""","13,",40,,,1891,1891-01-01,,"San Francisco, California",
184,Overland Monthly,"Overland Monthly (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. Overland Monthly promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the Atlantic Monthly and Lippincott’s, Overland was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the Overland. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the Overland absorbed Out West Magazine and tacked that title onto the end of its name. The Overland Monthly and Out West Magazine was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",Yates1896,magazine-article,"Yates, Lorenzo Gordin.","""The Deserted Homes of a Lost People: The Santa Barbara Channel Islands.""","27,",161,,May,1896,1896-05-01,,"San Francisco, California",
184,Overland Monthly,"Overland Monthly (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. Overland Monthly promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the Atlantic Monthly and Lippincott’s, Overland was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the Overland. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the Overland absorbed Out West Magazine and tacked that title onto the end of its name. The Overland Monthly and Out West Magazine was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",Paul1911,magazine-article,"Paul, Oliver M.","""Female Robinson Crusoe.""",58,3,,July-December,1911,1911-07-15,,"San Francisco, California",
185,Overland Monthly,"Overland Monthly (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. Overland Monthly promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the Atlantic Monthly and Lippincott’s, Overland was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the Overland. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the Overland absorbed Out West Magazine and tacked that title onto the end of its name. The Overland Monthly and Out West Magazine was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",Clifford1921,magazine-article,"Clifford, Josephine.","""Hona Maria.""","78,",5,,November,1921,1921-11-01,,"San Francisco, California",
188,Pacific Discovery,"Pacific Discovery (1948-200?) was a magazine published by the California Academy of Sciences out of San Francisco; Don Greame Kelley was the founding editor. The magazine was originally published as a bi-monthly but switched to a quarterly in 1984. Pacific Discovery focused on natural history and conservation. In 1997, the name was changed to California Wild.  Today, the California Academy of Sciences functions primarily as a science education center, housing an aquarium, planetarium, and natural history museum, but it also encompasses the Institute for Biodiversity Science and Sustainability, which employs more than 100 scientists.","""About California Wild,"" California Wild, accessed August 2, 2016. ""Back Issues,"" California Wild, accessed August 2, 2016. California Academy of Sciences, 18 Million Real Things (San Francisco: California Academy of Sciences, 2003), accessed August 2, 2016, eBook. Editors of the Encyclopedia Britannica, ""California Academy of Sciences (CAS),"" Encyclopedia Britannica, accessed August 2, 2016. Proceedings – Pacific Science Congress 13-16 (1959): no page, accessed August 2, 2016, eBook. Susan Wels, California Academy of Sciences: Architecture in Harmony with Nature (San Francisco: Chronicle Books, 2008), accessed August 2, 2016, eBook.",Meighan1954,magazine-article,"Meighan, Clement W.","""The Nicoleño.""","7,",1,,January-February,1954,1954-01-01,,,
188,Pacific Discovery,"Pacific Discovery (1948-200?) was a magazine published by the California Academy of Sciences out of San Francisco; Don Greame Kelley was the founding editor. The magazine was originally published as a bi-monthly but switched to a quarterly in 1984. Pacific Discovery focused on natural history and conservation. In 1997, the name was changed to California Wild.  Today, the California Academy of Sciences functions primarily as a science education center, housing an aquarium, planetarium, and natural history museum, but it also encompasses the Institute for Biodiversity Science and Sustainability, which employs more than 100 scientists.","""About California Wild,"" California Wild, accessed August 2, 2016. ""Back Issues,"" California Wild, accessed August 2, 2016. California Academy of Sciences, 18 Million Real Things (San Francisco: California Academy of Sciences, 2003), accessed August 2, 2016, eBook. Editors of the Encyclopedia Britannica, ""California Academy of Sciences (CAS),"" Encyclopedia Britannica, accessed August 2, 2016. Proceedings – Pacific Science Congress 13-16 (1959): no page, accessed August 2, 2016, eBook. Susan Wels, California Academy of Sciences: Architecture in Harmony with Nature (San Francisco: Chronicle Books, 2008), accessed August 2, 2016, eBook.",Norris1960,magazine-article,"Norris, R. M.","""Desert San Nicolas.""",13,,,,1960,1960-01-01,,"San Francisco, California",
189,Pacific Monthly,"Pacific Monthly (1898-1912) was a monthly magazine originally managed by William Brittle Wells out of Portland, Oregan. Wells was a product of the new Stanford University, and was very Western-minded. Therefore, the magazine was founded to promote the West as a destination for both tourists and settlers. Pacific Monthly printed articles about regional politics and culture, as well as fiction articles. In the 1910s, Pacific Monthly, whose area of coverage centered on the Pacific Nrothwest, merged with the magazine Sunset, whose focus was on California and the Southwest (Sunset had been founded by the Southern Pacific Railroad to attract interest in the region.) When the periodicals merged, the new title became Sunset: The Pacific Monthly.","""Fred Lockley Papers, 1911-1950,"" Archives West, accessed July 17, 2016. ""Sunset as the Magazine of Western Living and The Pacific Monthly,"" Sunset, February 1990: 117.",Tenney1907,magazine-article,"Tenney, W. A.","""The Hermit of San Nicholas.""","18,",1,,,1907,1907-01-01,,"Portland, Oregon",
199,Priestly Studies,"Priestly Studies was a journal published three times a year between 1932-66 by student friars attending the Franciscan School of Theology (also called the ""Old Mission Theological Seminary"") at Santa Barbara, California. In 1968, the school merged with the Graduate Theological Union in Berkeley, California and in 2013, it moved again to Old Mission San Luis Rey in Oceanside, California; it is currently part of the University of San Diego.","""Bibliography,"" Brand Book, 7 (1957): 270, accessed July 27, 2016. Brother Timothy Arthur, email message to Sara Schwebel, October 18, 2013. Pinbar Kenneally, Catholic Seminaries of California as Educational Institutions 1840-1950 (Toronto: n.p., 1956), accessed July 27, 2016, eBook.",Cronin1944,journal-article,"Cronin, Blaise.","""Juana Maria.""","12,",2,,,1944,1944-01-01,,"Santa Barbara, California",
