,"Publication Title 

(Do not put <i> or </i>)",Source Note,Source Note Citation Information,Documents,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

book-entire, book-chapter/section, book-edition, book-pamphlet, book-report/report section, journal-article, magazine-article, newspaper-article, newspaper-figure, newspaper-supplement-article, newspaper-newsletter-article, review-book, review-film, review-sound recording-transcription, personal communication, thesis/dissertation, manuscript, blog/website",Author Name,Article Title,Volume Number,Issue Number,Day,Month,Year,Standardized Date (yyyy-mm-dd),"Publisher 

(required for monograph)","Place of Publication

for maps on website

also for browse by publication location feature",Editor
id,publicationtitle,note,bibl,documents,,,,,,,,,,,,
2,Adams (PA) Sentinel and General Advertiser,"<i>Adams Sentinel and General Advertiser</i> (1826-67) was a weekly newspaper published in Gettysburg, Pennsylvania, founded by Robert Harper at the turn of the century under the title <i>The Adams Centinel</i>. When his son, Robert G. Harper inherited the editorship, he updated the name. The younger Harper was a conservative Whig, and his paper followed suit. In the middle of the nineteenth century, agriculture was the primary industry in Adams County (pop. 25, 981) but manufacturing in the way of mills, irons forges, and lumbering was also present.","Charles H. Glatfelter, ""Adams County Votes for President, 1804-2008,"" <i>Adams County History</i>, 15, no. 3 (2009): 4-64, accessed February 28, 2016, PDF. Samuel T. Wiley, ed., <i>Biographical and Portrait Cyclopedia of Cumberland, York, Adams Counties, Pennsylvania</i> (Philadelphia: C.A. Rouff Company, 1897). U.S. Census Bureau, ""1850 Census,"" accessed February 28, 2016, PDF.
",TheAdamsSentinel1853,newspaper-article,,"""A Female Crusoe.""","54, ",2,7,November,1853,1853-11-07,Robert G. Harper,"Gettysburg, Pennsylvania",Robert G. Harper
3,Adventure Magazine,"<i>Adventure Magazine</i> (1910-1971) was a pulp magazine originally created by the Ridgway Company first published by the Butterwick Publishing company; Trumbull White was the first editor. He initiated two principle guidelines: the stories published did not have to take place in faraway locales, but it should be a true story, with specific details. Arthur Hoffman became the editor in 1912, and the magazine reached its height of popularity (more than 300,000 subscribers—including Theodore Roosevelt) during his 15 year editorship. At the time of its twenty-fifth anniversary, Time declared Adventure ""the number one pulp.""","Patrick Scott Belk, ""<i>Adventure</i> Magazine: America’s No. 1 Pulp,"" <i>The Pulp Magazine Project</i>, accessed July 25, 2016.",Woodward1930,magazine-article,"Woodward, Arthur.","""A Female Robinson Crusoe.""",,,1,February,1930,1930-02-01,,"New York, New York",Albert A. Proctor
4,Air Time,<i>Air Time</i> (2004-14) was a publication that was printed by the NAVAIR Range Deaprtment for Department of Defense employees and contractors. ,"Patricia Sauers, email message to Paige Kuester, November 21, 2016.",Sauers2013_AirTime,magazine-article,"Sauers, Patricia.","""Lost Indian Cave Found on San Nicolas Island.""","4,",2,,Summer,2013,2013-06-01,,,
12,Ancestors West,<i>Ancestors West</i> (1974-current) is the quarterly publication of the Santa Barbara County Genealocial Society. It publishes articles of interest to those who are tracking their family genealogy. Dorothy James Oksner was the editor in 2004.,"""Ancestors West,"" <i>Santa Barbara County Genealogical Society</i>, accessed September 11, 2016. ""Santa Barbara County Genealogical Society,"" <i>Ancestors West</i> 31 no. 1/2 (2004-05): 2, accessed September 11, 2016, PDF.",Dittman2004,newspaper-newsletter-article,"Dittman, Richard H. ","""Good Grief, Charley Brown!"" ","31, ",1 & 2,,Fall/Winter,2004/2005,2004-09-01,,"Santa Barbara, California",
16,Art and Archaeology,"<i>Art and Archaelogy</i> (1914-34) was an illustrated monthly magazine published by the Archaeological Institute of America; its first editor was Francis Willey Kelsey. The magazine was launched in an effort to popularize the field, although not all members of the organization were in favor of the strategy, worrying that it would dilute the professionalism of their research. The point became moot during the Great Depression, when the circulation dropped too low for recovery, and the magazine folded.","<i>Art and Archaeology</i> 3 (1916): 2, accessed July 25, 2016, eBook. John G. Pedley, <i>Life and Work of Francis Willey Kelsey: Archeology, Antiquity, and the Arts</i> (Ann Arbor, MI: University of Michigan Press, 2012), accessed July 25, 2016. Stephen L. Dyson, <i>Ancient Marbles to American Shores: Classical Archaeology in the United States</i> (Philadelphia: University of Pennsylvania Press, 1998), accessed July 25, 2016.",Bryan1930,magazine-article,"Bryan, Bruce. ","""San Nicolas Island, Treasure House of the Ancients: Part I."" ","29, ",4,,April,1930,1930-04-01,,,
41,California Archaeology,<i>California Archaeology</i> (2009-current) is the semi-annual publication of the Society for California Archaeology. It features peer-reviewed articles on archaeology and cultural resource management. Terry Jones has been the editor of <i>California Archaeology</i> since its founding.,"""California Archaeology – The SCA Journal, <i>Society for California Archaeology</i>, accessed September 11, 2016. Mark Allen, ""From the President: A New Journal for the Society for California Archaeology,"" <i>Society for California Archaeology</i>, 2008, accessed September 11, 2016.",SchwartzVellanoweth2013,journal-article,"Schwartz, Steven J. and Rene L. Vellanoweth.","""Lone Woman's Cave Found on San Nicolas Island.""","5,",2,,December,2013,2013-12-01,,,
44,California Historical Society Quarterly,"<i>California Historical Society Quarterly</i> (1920-current) is the flagship journal of the California Historical Society. From the start, the society was open to the historically curious, not just professional historians. Today, the journal goes by the name <i>California History</i>.","Carol Kammen and Amy H. Wilson, eds., <i>Encyclopedia of Local History</i> (Lanham, MD: AltaMira, 2013), accessed August 1, 2016. Frontmatter, <i>California History</i> 43, no. 1-4 (1984): 3, accessed August 1, 2016, eBook.",Thomson1953,journal-article,"Thomson, Virginia.","""Note on George Nidever: A ""Clean-Living and Upright"" Trapper."" ","32,",3,,,1953,1953-01-01,,"San Francisco, California",
45,California Territorial Quarterly,"<i>California Territorial Quarterly</i> (1990-current) is a magazine published and edited by Bill and Penny Anderson out of Paradise, California. It was formerly called <i>Dogtown Territorial Quarterly</i>, but changed its name in 2002 to reflect the shift in focus from local history to the history of all California. The Andersons run the magazine in conjunction with their shop, Paradise Coin and Gifts. Articles are reviewed by local historians before being published.","Penny Anderson, ""A Short History of the <i>Dogtown Territorial Quarterly</i>,"" <i>Welcome to the California History Website and Paradise Coin and Gift</i>, accessed September 11, 2016.",Harrigan1998,journal-article,"Harrigan, John P.","""The Lone Woman of San Nicolas Island. ""","33,",33,,,1998,1998-01-01,,"Paradise, California",
67,New York Current Literature,"<i>Current Literature</i> (1888-1925) was a monthly magazine founded and edited by Frederick M. Somers out of New York. Somers sold the magazine in 1891; William George Jordan became the new editor. The magazine, which published fiction and literary reviews quickly out rivaled its competitors of larger pages, superior printing quality, and diversity of material. <i>Current Literature</i> reached a circulation of around 40,000 in the middle of the 1890s. Later, the magazine began publishing more news and commentary than fiction and it changed its name to <i>Current Opinion</i> in 1912.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 21, 2016, eBook.",CurrentLiterature1892,newspaper-article,,"""Isle of Skulls.""","10, ",1,,May,1892,1892-05-01,,"New York, New York",
68,Currents,<i>Currents</i> (2001-current) is the quarterly energy and environmental magazine of the U.S. Navy. It focuses on the way that the Navy interacts with the environment and natural resources. Its audience is the Navy and those concerned with its impacts on the natural world.,"""Currents,"" <i>U.S. Navy</i>, accessed September 11, 2016, http://greenfleet.dodlive.mil/currents-magazine/. ""U.S. Navy Currents Magazine"" Facebook page, accessed November 17, 2016.",Sauers2013_Currents,magazine-article,"Sauers, Patricia.","""Point Mugu’s Lead Archaeologist Makes a Significant Find.""",,,,Fall,2013,2013-09-01,,,
69,San Francisco Daily Alta California,"<i>Daily Alta California </i>(1849-1891) was founded in San Francisco (pop. 30,000 in 1856) by Edward C. Kemble. It initially appeared three times a week until 1850, when it became the city’s first daily paper. The populist and independent paper featured the first steam press in the city, which accelerated printing time. The <i>Alta California</i> relayed all state governmental proceedings to the people, making it the newspaper of choice for many locals, even as it faced stiff competition (twelve other newspapers were published in the area in 1854). ","""Early SF Newspapers – Alta California,"" <i>San Francisco Public Library Herb Caen Magazines and Newspapers Center</i>, last updated September 5, 2009, accessed February 28, 2016. Frank Luther Mott, <i>American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940</i> (New York: Macmillan, 1941), 290. ""San Francisco Facilities in the Early 1850’s,"" <i>The Virtual Museum of the City of San Francisco</i>, accessed February 28, 2016.",DailyAltaCalifornia1853,newspaper-article,,"""Female Robinson Crusoe—The Ladies' Fair.""","4,",295,13,November,1853,1853-11-13,E. Gilbert & Co.,"San Francisco, California",
99,Elementary English,"<i>Elementary English</i> (1924-current) is a journal published by the National Council of Teachers of English out of Urbana, Illinois. Casper Carl Certain was the founding editor; Iris Tiedt was the editor in the 1960s. Its focus is reading and writing pedagogy. Its current title is <i>Language Arts</i> and is published 8 times a year.","Aileen Pace Nilsen, ""On the Twentieth Anniversary of the Founding of NCTE’s Women’s Committee,"" <i>The Women in Literature and Life Assembly</i>, Fall 1992, accessed September 4, 2016. ""Elementary English,"" <i>WorldCat</i>, accessed September 4, 2016. Leile Christenbury, ""NCTE and the Shaping of American Literacy Education,"" <i>Reading the Past, Writing the Future</i> (Urbana, IL: NCTE, 2001), accessed September 4, 2016, PDF. Marilyn Lea Miller, ""Certain, Casper Carl,’ <i>Pioneers and Leaders in Library Services to Youth: A Biographical Dictionary</i> (Westport, CT: Libraries Unlimited, 2003), accessed September 4, 2016, eBook. Peter Hunt, ed., ""Educational Publications,"" <i>International Companion Encyclopedia of Children’s Literature</i>, (London: Routledge, 2004), accessed September 4, 2016, eBook.",Stott1975,journal-article,"Stott, Jon C.","""Narrative Technique and Meaning in Island of the Blue Dolphins.""","52,",4,,April,1975,1975-04-01,,,
113,New York Field and Stream,"<i>Field and Stream</i> (1895-current) is a monthly magazine founded by John P. Burkhard and Henry Wellington Wack out of New York; it was originally founded in St. Paul Minnesota but was relocated in 1898. The magazine had boasted a large circulation in the early 1900s, printing printed articles on hunting, fishing, and different wildlife, depending on the season; it also printed Western serials. It remains one of the top outdoorsman magazines today.","<i>Current Advertising</i> (New York: Charles Austin Bates, 1900), accessed July 10, 2016, eBook. J. I. Merrit, ed., <i>The Best of Field and Stream</i> (Guilford, CT: Lyons, 2002), accessed July 10, 2016. Mike, ""Field and Stream Magazine Company History,"" <i>Field and Stream Magazine Company History</i>, June 5, 2012, accessed July 10, 2016. Thomas H. Pauly, <i>Zane Grey</i> (Urbana: University of Illinois Press, 2005), accessed July 10, 2016, eBook. ",Gassaway1905,newspaper-article,"Gassaway, Frank.","""Sea Otter Shooting.""","10th year,",2,,June,1905,1905-06-01,,"New York, New York",
115,Frank Leslie's Popular Monthly,"<i>Frank Leslie’s Popular Monthly</i> (1876-1956) was a monthly magazine established by New Yorker Frank Leslie. The magazine featured an assortment of material, from poetry to literature reviews to science. When Leslie died in 1880, but his wife continued the publication, even changing her name to his so that there were no discrepancies. The magazine’s circulation surged in circulation in the mid-1880s to around 125,000, but as the economy declined in the wake of the financial Panic of 1893, circulation dropped to around 62,000. In 1905, the name was changed to the <i>American Magazine</i>; it was discontinued in 1956.","David E. Sumner, <i>The Magazine Century</i> (New York: Peter Lang, 2010), accessed June 21, 2016, eBook. <i>Encyclopedia of American Ethnic Literature</i> (New York: Infobase Learning, 2013), accessed June 21, 2016, eBook. Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 21, 2016, eBook. R. Gregory Lande, <i>The Abraham Man</i> (New York: Algora, 2012), accessed June 21, 2016, eBook.",Eames1892,newspaper-article,"Eames, Ninetta. ","""Three Weeks on a Weird Island."" ","34, ",6,,December,1892,1892-12-01,,Many of Frank Leslie's magazines were published in NY: https://books.google.co.za/books?id=lm7rSZ2BoK8C&pg=PA437&lpg=PA437&dq=Leslie+Hooper+American+engraver&source=bl&ots=5mdJNzCagV&sig=DvuUcexqBvuzpiUmalkBgsKpqDI&hl=en&ei=bsIfSuKANaSOjAel5piwBg&sa=X&oi=book_result&ct=result#v=onepage&q=Frank%20Leslie%20Popular%20Monthly&f=false,
125,Harper's New Monthly Magazine,"<i>Harper’s Monthly Magazine</i> (1850-current) is a monthly magazine founded by the publishers Harper & Brothers out of New York; it was originally called <i>Harper’s New Monthly Magazine</i> but the <i>New</i> was dropped in 1900. Henry J. Raymond was the founding editor, and Henry Mills Alden became editor in the 1890s. Each edition of <i>Harper’s New Monthly Magazine</i> included a variety of topics and genres, from English serials to science features and travel articles. When <i>Scribner’s Monthly</i> came on the scene in 1870, it spurred <i>Harper’s</i> to improve its illustrations, adding more images to each edition and improving the quality. By the 1890s, <i>Harper’s</i> had reached its peak as an illustrated magazine.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 21, 2016, eBook.",Bennett1898,magazine-article,"Bennett, John E.","""Our Seaboard Islands of the Pacific.""","97,",582,,November,1898,1898-11-01,,"Ithaca, New York",
130,Hutchings' California Illustrated Magazine,"<i>Hutchings’ Illustrated California Magazine</i> (1856-61) was a magazine published by James M. Hutchings, an Englishman who moved to California during the 1849 Gold Rush. After making a fortune in mining and losing it in a bank fiasco, Hutchings found success in journalism. His magazine reached a circulation of 8,000, outrivaling the <i>Pioneer</i> by including various local and foreign illustrated pieces. Hutchings was an early booster of Yosemite; he owned a hotel in the area and published the first illustrated magazine promoting the region as a destination for leisure.","Hutching’s Illustrated Magazine 1-5 (1856-1861), <i>Yosemite</i>, accessed 10 March 2016. James David Hart, <i>A Companion to California: Newly Revised and Expanded with Illustrations</i> (Berkeley, California: University of California Press, 1987), accessed 10 March 2016, eBook.","Russell1856_HCF
HutchingsCaliforniaMagazine1857","magazine-article
magazine-article","Russell, C. J. W.
N/A
","""Narrative of a Woman Who Lived Alone 18 Years Alone, Upon the Island of San Nicolas, Coast of California.""
""The Indian Woman of San Nicolas.""
","1,
1,","5
8
",,"November
February","1856
1857","Sat Nov 01 1856 07:56:02 GMT+0300 (EAT)
Sun Feb 01 1857 07:56:02 GMT+0300 (EAT)
",,"San Francisco, California
San Francisco, California",
281,Le Mousquetaire (Paris),"<i>Le Mousquetaire</i> (1853-57) was a daily newspaper founded by the author Alexander Dumas (<i>The Count of Monte Cristo</i>, <i>The Three Musketeers</i>) out of Paris, France. The paper published literature and art reviews, and was also the first place Dumas’ <i>Memoirs</i> appeared in print.","Jack Adler, ""Alexandre Dumas and Auguste Macquet,"" <i>Soulmates from the Pages of History</i> (New York: Algora, 2013), accessed September 19, 2016, eBook.",Revoil1855,newspaper-article,"Bénédict Henry Révoil, ","""Madame Robinson,""","21,",,25,February,1855,1855-02-25,,Paris,
143,Littell's Living Age,"<i>Littell’s Living Age</i> (1844-96) was a weekly magazine founded in Boston by Eliakim Littell (succeeded by his son, Robert).  The magazine featured literary fiction, particularly from England, and material reprinted from American periodicals and newspapers.  The magazine’s circulation remained moderate (under 10,000) until 1880, but production costs were kept low by drawing on previously published material.","Frank Luther Mott, <i>A History of American Magazines 1741-1850</i> (Cambridge: Harvard University Press, 1958), accessed February 28, 2016, eBook. ",TheLivingAge1847,magazine-article,,"""A Female Crusoe.""","12,",150,3,March,1847,1847-01-01,,"Ithaca, New York",
184,Overland Monthly,"<i>Overland Monthly</i> (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. <i>Overland Monthly</i> promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the <i>Atlantic Monthly</i> and <i>Lippincott’s</i>, <i>Overland</i> was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the <i>Overland</i>. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the <i>Overland</i> absorbed <i>Out West Magazine</i> and tacked that title onto the end of its name. The <i>Overland Monthly and Out West Magazine</i> was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, <i>A History of American Magazines 1741-1850</i> (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.","Walcott1872
Dall1874
Schumacher1875
McDougall1890
Kinsell1891
Yates1896
Paul1911","magazine-article
magazine-article
magazine-article
magazine-article
magazine-article
magazine-article
magazine-article","Walcott, Josephine.
Dall, W. H.
Schumacher, Paul.
McDougall, William H.
Kinsell, Martinette.
Yates, Lorenzo Gordin.
Paul, Oliver M.","""Hona Maria.""
""The Lords of the Isles.""
""Some Remains of a Former People.""
""A Woman's Log of 1849.""
""The Santa Barbara Islands.""
""The Deserted Homes of a Lost People: The Santa Barbara Channel Islands.""
""Female Robinson Crusoe."" ","9,
12,
15,
16,
13,
27,
58","2
6
4
93
40
161
3",,"August
June
October
September
N/A
May
July-December","1872
1874
1875
1890
1891
1896
1911","Thu Aug 01 1872 07:56:02 GMT+0300 (EAT)
Mon Jun 15 1874 07:56:02 GMT+0300 (EAT)
Fri Oct 01 1875 07:56:02 GMT+0300 (EAT)
Mon Sep 01 1890 08:00:00 GMT+0300 (EAT)
Thu Jan 01 1891 08:00:00 GMT+0300 (EAT)
Fri May 01 1896 08:00:00 GMT+0300 (EAT)
Sat Jul 15 1911 08:00:00 GMT+0300 (EAT)",,"San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California","Anton Roman
Anton Roman
Anton Roman
N/A
N/A
N/A
N/A"
185,Overland Monthly,"<i>Overland Monthly</i> (1868-75; 1883-1923) was a monthly magazine out of San Francisco founded by Anton Roman, a bookseller and publisher. <i>Overland Monthly</i> promoted California and California writers, but also featured famous contributors such as Mark Twain, Bret Harte, Ambrose Bierce, Willa Cather, and Jack London. Similar in style to eastern publications like the <i>Atlantic Monthly</i> and <i>Lippincott’s</i>, <i>Overland</i> was one of the few Californian publications to attract readers in the east. The magazine went through many owners and editors, including writer Bret Harte, who became the editor, and brought the magazine to its first spike in popularity. It had a circulation of 3,000 in the first six months of his editorship. Once Hart left in 1870, however, the magazine dwindled until ceasing publication in 1875. Soon after, Anton Roman started another magazine that was eventually renamed the <i>Overland</i>. This magazine was even more popular than the first, reaching a circulation of 18,000 in 1888, 30,000 by 1900, and 75,000 in 1912. In 1923, the <i>Overland</i> absorbed <i>Out West Magazine</i> and tacked that title onto the end of its name. The <i>Overland Monthly and Out West Magazine</i> was moved to Los Angeles in 1931 before it folded completely in 1935.","Frank Luther Mott, <i>A History of American Magazines 1741-1850</i> (Cambridge: Harvard University Press, 1958), accessed 13 March 2016, eBook.",Clifford1921,magazine-article,"Clifford, Josephine.","""Hona Maria.""","78,",5,,November,1921,1921-11-01,,"San Francisco, California",
188,Pacific Discovery,"<i>Pacific Discovery</i> (1948-200?) was a magazine published by the California Academy of Sciences out of San Francisco; Don Greame Kelley was the founding editor. The magazine was originally published as a bi-monthly but switched to a quarterly in 1984. <i>Pacific Discovery</i> focused on natural history and conservation. In 1997, the name was changed to <i>California Wild</i>.  Today, the California Academy of Sciences functions primarily as a science education center, housing an aquarium, planetarium, and natural history museum, but it also encompasses the Institute for Biodiversity Science and Sustainability, which employs more than 100 scientists.","""About California Wild,"" <i>California Wild</i>, accessed August 2, 2016. ""Back Issues,"" <i>California Wild</i>, accessed August 2, 2016. California Academy of Sciences, <i>18 Million Real Things</i> (San Francisco: California Academy of Sciences, 2003), accessed August 2, 2016, eBook. Editors of the Encyclopedia Britannica, ""California Academy of Sciences (CAS),"" <i>Encyclopedia Britannica</i>, accessed August 2, 2016. <i>Proceedings – Pacific Science Congress</i> 13-16 (1959): no page, accessed August 2, 2016, eBook. Susan Wels, <i>California Academy of Sciences: Architecture in Harmony with Nature</i> (San Francisco: Chronicle Books, 2008), accessed August 2, 2016, eBook.","Meighan1954
Norris1960","magazine-article
magazine-article","Meighan, Clement W. 
Norris, R. M.","""The Nicoleño."" 
""Desert San Nicolas.""","7, 
13","1
N/A",,"January-February
N/A","1954
1960","Fri Jan 01 1954 08:00:00 GMT+0300 (EAT)
Fri Jan 01 1960 08:00:00 GMT+0300 (EAT)",,"N/A
San Francisco, California",
189,Pacific Monthly,"<i>Pacific Monthly</i> (1898-1912) was a monthly magazine originally managed by William Brittle Wells out of Portland, Oregan. Wells was a product of the new Stanford University, and was very Western-minded. Therefore, the magazine was founded to promote the West as a destination for both tourists and settlers. <i>Pacific Monthly</i> printed articles about regional politics and culture, as well as fiction articles. In the 1910s, <i>Pacific Monthly</i>, whose area of coverage centered on the Pacific Nrothwest, merged with the magazine <i>Sunset</i>, whose focus was on California and the Southwest (<i>Sunset had been founded by the Southern Pacific Railroad to attract interest in the region.) When the periodicals merged, the new title became <i>Sunset: The Pacific Monthly</i>.","""Fred Lockley Papers, 1911-1950,"" <i>Archives West</i>, accessed July 17, 2016. ""Sunset as the Magazine of Western Living and The Pacific Monthly,"" <i>Sunset</i>, February 1990: 117.",Tenney1907,magazine-article,"Tenney, W. A.","""The Hermit of San Nicholas.""","18,",1,,,1907,1907-01-01,,"Portland, Oregon",
199,Priestly Studies,"<i>Priestly Studies</i> was a journal published three times a year between 1932-66 by student friars attending the Franciscan School of Theology (also called the ""Old Mission Theological Seminary"") at Santa Barbara, California. In 1968, the school merged with the Graduate Theological Union in Berkeley, California and in 2013, it moved again to Old Mission San Luis Rey in Oceanside, California; it is currently part of the University of San Diego.","""Bibliography,"" <i>Brand Book</i>, 7 (1957): 270, accessed July 27, 2016. Brother Timothy Arthur, email message to Sara Schwebel, October 18, 2013. Pinbar Kenneally, <i>Catholic Seminaries of California as Educational Institutions 1840-1950</i> (Toronto: n.p., 1956), accessed July 27, 2016, eBook.",Cronin1944,journal-article,"Cronin, Blaise.","""Juana Maria.""","12,",2,,,1944,1944-01-01,,"Santa Barbara, California",
201,Psychology Today,"<i>Psychology Today</i> (1967-current) is a bimonthly magazine founded by Nicholas Charney out of Del Mar, California. Charney wanted to make the academic field of psychology accessible to the average person. <i>Psychology Today</i> focuses on current issues from a psychologicsal point of view. Shortly after its founding, the magazine moved to New York City, where it is published today.","""About Psychology Today,"" <i>Psychology Today</i>, accessed September 4, 2016. Editors of the Encyclopedia Britannica, ""Psychology Today,"" <i>Encyclopedia Britannica</i>, last updated February 8, 2016, accessed September 4, 2016. ""Issue Archive,"" <i>Psychology Today</i>, accessed September 4, 2016. O.L. Freeman, ""’Letting the Air In,’"" <i>Psychology Today</i>, last updated June 9, 2016, accessed September 4, 2016. ""Psyching Out of the Coast,"" <i>New York Magazine</i> 7, no. 50 (1974): 104, eBook, accessed October 23, 2016.",ODell1968,magazine-article,"O'Dell, Scott.","""An Adventure with Memory and Words.""","1,",8,,January,1968,1968-01-01,,"New York, New York",
203,"Putnam's Monthly: A Magazine of Literature, Science, and Art","<i>Putnam's Monthly Magazine of American Literature, Science, and Art</i> (1853-1910) was a magazine founded by George Palmer Putnam out of New York. It only published American authors, appealing to readers and contributors alike as most magazines at the time only republished British writings. While Herman Melville published ""The Encantadas"" in the magazine with his byline, but many prominent authors chose to publish in Putnam’s anonymously.","Hester Blum, <i>The View from the Masthead: Maritime Imagination and Antebellum American Sea Narratives</i> (Chapel Hill: University of North Carolina Press, 2008), accessed 8 March 2016, eBook. ""Making of America,"" <i>Cornell University Library</i>, accessed 8 March 2016.",Melville1854,magazine-article,"Melville, Herman. ","""Sketch Eighth: Charles' Isle and the Dog-King,"" in ""The Encantadas, or Enchanted Isles."" ","3, ",16,,April,1854,1854-04-01,,,
222,Santa Barbara Magazine,"<i>Santa Barbara Magazine</i> (1999-current) is a magazine that was founded by Bill Smith out of Santa Barbara California. This magazine caters to affluent reidents of Southern California, with content on local history, people, places, and businesses.","Santa Barbara Magazine Staff, phone conversation to Paige Kuester, November 30, 2016. ""To Advertise,"" <i>Santa Barbara Magazine</i>, accessed November 30, 2016, http://sbmag.com/to-advertise/.","Howorth1988-Cave
Howorth1988-Magic",magazine-article,"Howorth, Peter C. ","""San Nicolas Island: The Elusive Source of the Chumash Magic Stones,"" and ""The Cave of the Whales.""","14, ",4,,July/August,1988,1988-07-01,,"Santa Barbara, California",
224,Santa Barbara (CA) Seasons,"<i>Santa Barbara Seasons</i> (2000-current) is a joint blog/print magazine that has been edited by Leslie Dinaberg since 2010. It promotes the city and culture of Santa Barbara, catering to an affluent readership in that city and in Los Angeles. <i>Seasons</i> has a print circulation of 25,0000 in 2016.","""An Evening with Michael McDonald and Friends,"" <i>Santa Barbara Seasons</i>, October 1, 2001, accessed September 11, 2016. Leslie Dinaberg, <i>LeslieDinaberg.com</i>, 2016, accessed September 11, 2016. Lisa Angle, ""Review: Magazine Publishing and Writing in a 2.0 World,"" <i>The Association for Women in Communications</i>, November 16, 2012, accessed September 11, 2016. ""Media Kit,"" <i>Santa Barbara Seasons</i>, accessed September 16, 2016. ""Media Kit,"" <i>Santa Barbara Seasons</i>, accessed September 16, 2016, PDF.","TelleenLawton2013_Blog
TelleenLawton2013_Mag","blog/website 
magazine-article","Telleen-Lawton, Karen.
Telleen-Lawton, Karen.","""The Lost Woman of San Nicolas Island,""
""The Lost Woman of San Nicolas Island.""",blog,,11,July,2013,2013-07-11,,"Santa Barbara, California",
229,Scribner's Monthly,"<i>Scribner’s Monthly</i> (1870-1930) was a magazine founded by Dr. Josiah Gilbert Holland, Roswell Smith, and Charles Scribner. This Presbyterian paper quickly came to rival the Methodist <i>Harper’s Monthly</i>, publishing fiction, poems, moral advice, travel guides, current events, and more. <i>Scribner's</i> was especially known for its prominent use of illustrations. In 1885, circulation was about 200,000.","Frank Luther Mott, <i>A History of American Magazines 1741-1850</i> (Cambridge: Harvard University Press, 1958), accessed 28 February 2016, eBook.",Hardacre1880_SM,magazine-article,"Hardacre, Emma.","""Eighteen Years Alone: A Tale of the Pacific.""",20,,,,1880,1880-05-01,,"New York, New York",
230,Sea History Magazine,"<i>Sea History Magazine</i> (1970-current) is the quarterly magazine of the National Maritime Historical Society and is published for its members, which at the beginning of the twenty-first century numbered more than 10,000. <i>Sea History Magazine</i>’s focus is maritime history, broadly construed.","<i>National Maritime Historical Society</i>, accessed November 6, 2016, https://www.seahistory.org.",King2013,magazine-article,"King, Richard.","""Animals in Sea History: Sea Otter.""",,145,,Winter,2013-14,2013-12-01,National Maritime Historical Society.,,
127,Historical Society of Southern California Quarterly,"<i>Southern California Quarterly</i> (1884-current) is the flagship journal of the Historical Society of Southern California; its focus is the history of Southern California, but it also publisges on Calfornia state history, and the West more generally. Its audience includes both professional historians and the general public.","""About,"" <i>Southern California Quarterly</i>, accessed August 2, 2016.",Romer1959,journal-article,"Romer, Margaret.","""The Last of the Canaliños.""","41,",3,,,1959,1959-01-01,University of California Press,,
